ASVID,C1B1F1,C1B1F2,C1B1F3,C1B2F1,C1B2F2,C1B2F3,C1B3F1,C1B3F2,C1B3F3,C1B4F1,C1B4F2,C1B4F3,C1B5F1,C1B5F2,C1B5F3,C1B6F1,C1B6F2,C1B6F3,C1B7F1,C1B7F2,C1B7F3,C1B8F1,C1B8F2,C1B8F3,C1B9F1,C1B9F2,C1B10F1,C1B10F2,C1B10F3,C1B11F1,C1B11F2,C1B11F3,C1B12F1,C1B12F2,C1B12F3,C2B1F1,C2B1F2,C2B1F3,C2B2F1,C2B2F2,C2B2F3,C2B3F1,C2B3F2,C2B3F3,C2B4F1,C2B4F2,C2B4F3,C2B5F1,C2B5F2,C2B5F3
ASV1,15,2,76714,24,11,17,6,18,3,2,15,7,0,2,5,0,0,0,312,5,0,0,0,3,7524,0,3,0,8,4,3,25,0,19,65122,6,5,2,27,221,3,47,44,9,1,854,90245,4,0,4
ASV2,331,553,2464,0,0,0,2,0,6,0,33,0,65,12,6,71,83,80,52387,57,0,0,1,0,0,3,2,5,6,2,0,0,0,8,0,510,74,146,0,2,50958,2635,3300,2855,21640,53507,0,24,48,54
ASV3,1650,2330,111,2832,2237,1903,2132,3390,2373,2541,2791,3666,2088,3524,3053,3098,2260,2462,646,1287,1858,2479,2485,2478,1863,3431,2831,3843,3253,3382,3486,3041,3863,3191,71,2820,3199,3387,1816,135,750,2248,3441,2166,1276,1448,347,2190,1589,3258
ASV4,1699,183,39,2573,5669,8252,1151,297,380,9492,1535,2349,7271,2311,1479,7138,2742,3415,2563,2369,2476,14884,8818,7750,2590,12766,2590,3902,1860,1280,13259,5134,2387,7205,12,1626,648,546,3683,16,140,3802,1362,1147,657,87,40,1188,2898,0
ASV5,1543,2432,92,1215,2256,1784,2540,2870,2336,2610,1788,2227,2256,2254,2240,2407,2696,2312,601,1186,1930,1504,1510,3660,1515,2985,2520,2652,2935,2014,2851,3272,2626,2282,56,1148,2349,1451,1864,137,601,2059,3219,2963,950,783,295,2058,1667,2617
ASV6,2697,2838,100,1928,2260,3492,1629,1885,2376,2426,961,548,1762,1320,1208,1074,2725,1652,0,3226,1890,3707,2586,2170,1250,3921,1,1544,3024,2816,2843,4634,2808,980,1,1845,1123,1112,616,356,636,2185,3234,23,419,383,78,1911,3032,1543
ASV7,1576,2050,119,1141,1831,1481,2103,2763,2409,2235,1839,1813,1269,2178,1604,1908,2149,3508,688,1535,2493,2563,2389,2704,903,2691,1845,2059,2118,1267,1734,2002,1748,1381,18,1802,2729,2763,1781,108,769,1635,2286,1955,1248,926,192,1865,1435,2021
ASV8,528,1405,62,738,792,871,1041,1239,969,1964,3667,1089,831,931,515,1260,1504,3534,864,379,229,5184,1146,665,1150,3639,5318,962,2813,955,2129,1063,7172,9370,126,1421,3735,2614,235,54,1753,2549,949,7894,2177,870,183,1687,2637,3432
ASV9,593,1233,42,1106,1107,1324,627,852,1261,1111,2479,764,1642,1041,595,2052,1174,1638,1058,2475,2848,7420,2812,4153,992,2098,854,780,1141,1644,1960,1109,1070,894,23,2759,3492,3130,1411,161,912,1982,1855,523,950,776,281,1424,971,1457
ASV10,7659,21,748,9,5,2,4,10252,1,0,0,0,0,0,5,1,2,0,6103,0,0,0,1,1,10713,1,1,0,0,23581,14,2,0,3,3,5720,0,2,0,3431,0,0,0,1,0,5,5,0,0,0
ASV11,1389,710,45,44,5,59,1,12,23,504,426,15113,4510,5631,4761,150,1312,168,2874,9839,8179,2325,2967,1511,314,879,2572,6819,2459,71,45,203,12,26,7,43,94,15,1439,201,557,680,1178,946,113,62,12,799,1803,1491
ASV12,1432,2088,91,3489,3476,4908,3143,2711,2877,2573,2771,3542,3122,2064,1916,1306,2066,1603,175,1183,844,994,193,444,709,2364,1486,1190,1164,290,932,567,4,22,2,372,248,135,997,109,625,1659,2181,1481,1263,628,206,1151,1048,1284
