	temp	salinity	depth	turbidity	rich18	rich16	PO4	NO23	TDP	TDN	Si	SO4	DOC	DIC	DON	DOP	location
C1B1	3.2774	34.936	2375.32	98.0372	867.6666667	1594.666667	0.0358	0.26	0.0451	0.36	0.45	2722.23	0.82	27.22	0.1	0.0093	South Plume
C1B2	3.2739	34.9361	2391.20	97.7818	844.6666667	1439	0.0354	0.257	0.0485	0.34	0.46	2710.42	0.78	28.44	0.083	0.0131	South Plume
C1B3	3.2749	34.936	2384.55	97.7746	1003	1597	0.0276	0.198	0.0729	0.55	0.36	2719.41	0.74	27.68	0.352	0.0453	South Plume
C1B4	3.2776	34.9362	2378.36	97.9297	879.6666667	1487.333333	0.0351	0.259	0.0456	0.35	0.46	2723.18	4.35	27.45	0.091	0.0105	South Plume
C1B5	3.2769	34.9361	2374.44	98.0801	932	1548.333333	0.0338	0.25	0.0469	0.34	0.44	2912.93	0.65	26.91	0.09	0.0131	South Plume
C1B6	3.2751	34.9362	2371.22	97.8482	675	1472.666667	0.0263	0.205	0.0656	0.52	0.36	2760.63	0.65	28.41	0.315	0.0393	South Plume
C1B7	3.2742	34.9362	2368.51	97.341	664.6666667	1324.666667	0.0355	0.26	0.0394	0.37	0.47	2737.44	0.78	26.37	0.11	0.0039	Above Vent
C1B8	3.2698	34.9362	2366.88	97.4836	745	1441.666667	0.0214	0.138	0.0464	0.31	0.27	2679.14	1.01	15.27	0.172	0.025	Above Vent
C1B9	3.2765	34.9361	2365.71	97.9098	794.6666667	1397	0.0253	0.145	0.0333	0.21	0.27	2559.35	0.82	14.27	0.065	0.008	North Plume
C1B10	3.2783	34.9362	2367.83	98.3585	805	1431	0.0224	0.161	0.0687	0.51	0.3	2766.39	0.62	23.02	0.349	0.0463	North Plume
C1B11	3.263	34.936	2552.44	98.4875	624	1332	0.0371	0.256	0.0411	0.36	0.46	2765.65	0.82	27.16	0.104	0.004	North Plume
C1B12	3.3175	34.9358	2205.49	99.0213	681	1449.666667	0.0363	0.257	0.0465	0.37	0.46	2776.38	1.28	27.78	0.113	0.0102	Out
C2B1	3.2539	34.9367	2671.49	98.8944	1097.333333	1547.333333	0.0363	0.257	0.0465	0.37	0.46	2776.38	1.28	27.78	0.113	0.0102	Out
C2B2	3.2691	34.9368	2467.30	98.0492	832.3333333	1452.333333	0.0362	0.253	0.0449	0.35	0.47	2824.99	0.75	23.87	0.097	0.0087	North Plume
C2B3	3.2704	34.9367	2464.20	98.3533	1047.333333	1463	0.0266	0.187	0.0793	0.57	0.35	2677.59	0.72	27.99	0.383	0.0527	North Plume
C2B4	3.2678	34.937	2459.06	98.3632	803.6666667	1335.333333	0.0361	0.255	0.0456	0.35	0.45	2795.06	4.77	29.37	0.095	0.0095	North Plume
C2B5	3.2696	34.9368	2454.22	98.1966	1121.666667	1607.333333	0.0363	0.257	0.0443	0.34	0.46	2801.38	0.99	28.18	0.083	0.008	North Plume
