bottle,value,location,position,p2
C1B1F1,4.700003402,Plume,C1B1,South of Vent
C1B1F2,4.609189637,Plume,C1B1,South of Vent
C1B1F3,4.588756442,Plume,C1B1,South of Vent
C1B2F1,4.544832487,Plume,C1B2,South of Vent
C1B2F2,4.558349228,Plume,C1B2,South of Vent
C1B2F3,4.542568244,Plume,C1B2,South of Vent
C1B3F1,4.833188014,Plume,C1B3,South of Vent
C1B3F2,4.745509819,Plume,C1B3,South of Vent
C1B3F3,4.650934077,Plume,C1B3,South of Vent
C1B4F1,4.546623648,Plume,C1B4,South of Vent
C1B4F2,4.606007786,Plume,C1B4,South of Vent
C1B4F3,4.577868983,Plume,C1B4,South of Vent
C1B5F1,4.453371465,Plume,C1B5,South of Vent
C1B5F2,4.57901267,Plume,C1B5,South of Vent
C1B5F3,4.540419751,Plume,C1B5,South of Vent
C1B6F1,4.591506464,Plume,C1B6,South of Vent
C1B6F2,4.543270661,Plume,C1B6,South of Vent
C1B6F3,4.592104364,Plume,C1B6,South of Vent
C1B7F1,4.527101846,Plume,C1B7,Vent
C1B7F2,4.990939934,Plume,C1B7,Vent
C1B7F3,4.699739369,Plume,C1B7,Vent
C1B8F1,4.584409212,Plume,C1B8,Vent
C1B8F2,4.709357039,Plume,C1B8,Vent
C1B8F3,4.76757912,Plume,C1B8,Vent
C1B9F1,4.683143136,Plume,C1B9,North of Vent
C1B9F2,4.648412042,Plume,C1B9,North of Vent
C1B9F3,4.642164327,Plume,C1B9,North of Vent
C1B10F1,4.736761582,Plume,C1B10,North of Vent
C1B10F2,4.560443916,Plume,C1B10,North of Vent
C1B10F3,4.629715079,Plume,C1B10,North of Vent
C1B11F1,4.698581512,Plume,C1B11,North of Vent
C1B11F2,4.631230945,Plume,C1B11,North of Vent
C1B11F3,4.590929847,Plume,C1B11,North of Vent
C1B12F1,4.769095142,Above,C1B12,Above Plume
C1B12F2,4.708156866,Above,C1B12,Above Plume
C1B12F3,4.787414529,Above,C1B12,Above Plume
C2B1F1,4.737874653,Below,C2B1,Below Plume
C2B1F2,4.764005151,Below,C2B1,Below Plume
C2B1F3,4.810722164,Below,C2B1,Below Plume
C2B2F1,4.801783248,Plume,C2B2,North of Vent
C2B2F2,4.848306199,Plume,C2B2,North of Vent
C2B2F3,4.714773704,Plume,C2B2,North of Vent
C2B3F1,4.615208426,Plume,C2B3,North of Vent
C2B3F2,4.670424468,Plume,C2B3,North of Vent
C2B3F3,4.760977127,Plume,C2B3,North of Vent
C2B4F1,4.718067768,Plume,C2B4,North of Vent
C2B4F2,4.745102393,Plume,C2B4,North of Vent
C2B4F3,4.790981321,Plume,C2B4,North of Vent
C2B5F1,4.638503628,Plume,C2B5,North of Vent
C2B5F2,4.585515188,Plume,C2B5,North of Vent
C2B5F3,4.630916012,Plume,C2B5,North of Vent
