gene,C1B1,C1B2,C1B3,C1B4,C1B5,C1B6,C1B7,C1B8,C1B9,C1B10,C1B11,C2B2,C2B3,C2B4,C2B5
K00265 (gltB),0.15,0.37,0.27,0.26,0.29,0.74,0.94,0.62,1.05,0.47,0.35,0.83,-0.06,0.31,-0.35
K00266 (gltD),0.54,0.64,0.46,0.43,0.5,0.62,0.76,0.44,0.79,0.48,0.17,0.69,0.29,0.54,0.56
K00362 (nirB),0.68,0.22,0.78,0.9,0.12,1.53,1.23,0.48,2.24,1.23,1.1,2.72,2.39,1.12,1.65
K00363 (nirD),0.45,-0.3,0.72,0.6,-1.61,1.46,1.52,0.42,2.17,1.47,1.63,3.08,2.75,1.67,0.48
K00366 (nirA),1.05,-0.11,0.44,0.25,-0.8,0.01,0.49,-1.04,0.82,0.1,0.34,1.04,1.86,1.43,2.58
K00367 (narB),1.19,0.22,1.28,1.78,0.67,2.3,1.87,1.22,2.89,1.99,1.7,3.3,2.71,1.51,1.53
K00368 (nirk),-1.24,-1.07,-1.58,-1.03,-1.32,-1.35,-0.7,-0.74,-1.73,-1.39,-0.92,-2.43,-1.71,-1.81,-0.89
K00370 (narG),-1.15,-1.15,-1.42,-1.31,-0.82,-1.69,-1.1,-0.57,-2,-1.41,-1.01,-2.26,-1.96,-2.04,-1.44
K00371 (narH),-0.91,-0.69,-1.1,-0.84,-0.33,-1.19,-0.53,-0.02,-1.72,-1.17,-0.69,-2.57,-2.3,-2.09,-1.65
K00374 (narI),1.34,1.35,1.51,2.01,1.3,3.26,4.1,3.44,4.69,1.87,1.76,4.78,0.94,0.93,1.03
K01915 (glnA),0.27,0.12,0.21,0.47,0.38,1.17,0.29,-0.07,1.33,0.58,0.53,0.46,0.4,0.41,0.4
K02575 (Nrt),2.89,2.81,2.13,1.81,1.25,1.55,2,2.2,2.46,1.38,1.37,2.57,1.3,1.22,0.37
K03320 (amt),-1.916648721,-1.714156366,-2.261710115,-1.819975625,-1.697914026,-1.902854504,-1.509601838,-1.349358845,-2.456893634,-1.801304684,-1.471995462,-3.054787534,-2.403759172,-2.368132598,-1.674927122
K10535 (hao),1.53,1.93,1.26,0.93,0.4,-0.14,-1.07,0.08,-1.05,0.07,0.26,1.85,2.06,1.59,1.9
K10944 (amoA),1.3,2.22,1.26,0.85,1.76,0.61,-0.79,-0.47,-0.63,0.57,0.9,-1.19,-0.32,0.04,-0.07
K10945 (amoB),1.59,2.42,1.5,1.18,1.81,0.84,-0.39,-0.3,-0.25,0.66,0.96,-1.22,-0.45,0.03,0.11
K10946 (amoC),-0.31,0.13,-0.36,-0.25,-0.36,-0.6,-0.78,-1.12,-1.14,-0.44,-0.22,-2.05,-1.12,-0.9,-0.54
