gene,C1B1,C1B2,C1B3,C1B4,C1B5,C1B6,C1B7,C1B8,C1B9,C1B10,C1B11,C2B2,C2B3,C2B4,C2B5
K00265 (gltB),0.487953752,0.03172282,0.201331518,0.162718712,0.112395386,8.20E-07,1.02E-09,6.89E-05,1.04E-13,0.006443224,0.06835426,2.29E-08,0.756959451,0.120317585,0.048611182
K00266 (gltD),0.039988982,0.010681231,0.150892909,0.129078772,0.064050793,0.011642281,0.002807792,0.089784176,0.000550305,0.077377117,0.668306143,0.003739258,0.319055865,0.056332738,0.032203391
K00362 (nirB),0.046718508,0.554445271,0.042226568,0.005918642,0.769428844,1.13E-07,5.78E-05,0.160193726,2.60E-16,7.05E-05,0.000873897,1.11E-23,7.11E-18,0.000415788,1.67E-08
K00363 (nirD),0.617083894,0.721633593,0.423605238,0.483000619,0.081393133,0.027278342,0.035482883,0.612000539,0.000316861,0.040689131,0.035243801,1.96E-07,7.64E-06,0.021723955,0.610749352
K00366 (nirA),0.21764797,0.913888115,0.681339139,0.809668525,0.427842031,0.995029712,0.601068116,0.236910565,0.26266279,0.930526671,0.782252394,0.176152563,0.012115433,0.100741291,0.000269929
K00367 (narB),0.007246218,0.687436363,0.010644146,1.59E-05,0.177194124,2.86E-09,5.59E-06,0.004132027,1.06E-14,9.18E-07,0.000100942,8.85E-19,1.85E-12,0.000474917,0.000295724
K00368 (nirk),0.000362639,0.002763442,6.78E-06,0.004161507,0.000130099,5.15E-05,0.048122798,0.040034251,5.12E-08,5.28E-05,0.019007617,3.77E-15,1.76E-07,4.00E-08,0.012657576
K00370 (narG),7.29E-05,7.33E-05,3.50E-06,3.78E-06,0.007644321,3.24E-10,0.000111976,0.06578146,1.96E-14,6.50E-07,0.001210839,5.43E-18,2.40E-13,3.85E-14,2.30E-07
K00371 (narH),0.039056775,0.117363476,0.016815972,0.054294241,0.51085335,0.00271713,0.218558324,0.98133659,3.53E-06,0.005840662,0.16536905,1.16E-12,5.60E-10,3.76E-08,2.08E-05
K00374 (narI),0.021176585,0.017909316,0.020713343,0.000210242,0.027478042,3.25E-11,2.19E-17,1.89E-12,2.70E-23,0.000756414,0.003182993,5.01E-24,0.122059965,0.187265179,0.08694381
K01915 (glnA),0.260246759,0.621978017,0.459440602,0.027368394,0.086283245,1.54E-10,0.168889053,0.795702564,8.38E-14,0.006496075,0.020454078,0.020532256,0.05952331,0.092107156,0.060325943
K02575 (Nrt),2.11E-17,4.15E-16,1.06E-07,1.03E-06,0.00182663,2.56E-05,7.32E-08,3.30E-10,2.86E-13,0.0003983,0.000997226,6.51E-14,0.000724661,0.002543181,0.468773711
K03320 (amt),1.01E-06,1.73E-05,5.04E-09,3.19E-06,1.96E-05,5.52E-07,0.000116264,0.000780462,1.92E-11,5.38E-06,0.000573449,2.60E-17,1.68E-10,5.49E-10,1.97E-05
K10535 (hao),0.004334511,0.000178975,0.051254502,0.119908102,0.554827573,0.812868219,0.095484056,0.910568621,0.041988867,0.930301544,0.761841696,0.000188768,4.44E-05,0.004450659,0.000227838
K10944 (amoA),0.000915074,8.67E-10,0.001907117,0.039915851,1.96E-06,0.130945003,0.046227055,0.293755767,0.104207567,0.210412239,0.045189519,0.001405248,0.508154886,0.96538262,0.902812777
K10945 (amoB),2.63E-05,1.62E-11,0.000128665,0.002935163,1.05E-06,0.031502011,0.353936796,0.539773933,0.529806196,0.143995165,0.030566613,0.000999869,0.331371329,0.977156245,0.835320449
K10946 (amoC),0.48499686,0.748974645,0.393112763,0.536679851,0.368753662,0.077156993,0.02058352,0.000581257,0.000259029,0.272555897,0.672244904,4.33E-12,0.000724571,0.014469413,0.134277038
