Var1,Var2,div,fun,var1bot,var2bot,Distance,group
C1B1F3,C1B8F3,0.491306493,0.502247859,C1B1,C1B8,-1386,Upstream
C1B1F3,C1B8F2,0.478986357,0.471118499,C1B1,C1B8,-1386,Upstream
C1B1F2,C1B8F3,0.410800277,0.450145029,C1B1,C1B8,-1386,Upstream
C1B1F3,C1B8F1,0.509204138,0.443141336,C1B1,C1B8,-1386,Upstream
C1B1F2,C1B8F2,0.394501675,0.399702315,C1B1,C1B8,-1386,Upstream
C1B1F1,C1B8F3,0.409305072,0.386226488,C1B1,C1B8,-1386,Upstream
C1B1F2,C1B8F1,0.415475757,0.348059888,C1B1,C1B8,-1386,Upstream
C1B1F1,C1B8F2,0.381789781,0.338454046,C1B1,C1B8,-1386,Upstream
C1B1F1,C1B8F1,0.41573045,0.324739932,C1B1,C1B8,-1386,Upstream
C1B1F3,C1B7F3,0.496577292,0.538045653,C1B1,C1B7,-1196,Upstream
C1B1F3,C1B7F2,0.535116883,0.481847727,C1B1,C1B7,-1196,Upstream
C1B1F2,C1B7F3,0.40926369,0.465310744,C1B1,C1B7,-1196,Upstream
C1B1F3,C1B7F1,0.386785607,0.454294238,C1B1,C1B7,-1196,Upstream
C1B1F1,C1B7F3,0.397831915,0.415346828,C1B1,C1B7,-1196,Upstream
C1B1F2,C1B7F2,0.478669514,0.403110642,C1B1,C1B7,-1196,Upstream
C1B1F2,C1B7F1,0.424773985,0.385954113,C1B1,C1B7,-1196,Upstream
C1B1F1,C1B7F2,0.463252984,0.36339457,C1B1,C1B7,-1196,Upstream
C1B1F1,C1B7F1,0.385306576,0.350795761,C1B1,C1B7,-1196,Upstream
C1B2F1,C1B8F3,0.419295462,0.399719829,C1B2,C1B8,-1164,Upstream
C1B2F3,C1B8F1,0.440979679,0.387059524,C1B2,C1B8,-1164,Upstream
C1B2F3,C1B8F3,0.442332173,0.374218464,C1B2,C1B8,-1164,Upstream
C1B2F2,C1B8F3,0.440938871,0.37216041,C1B2,C1B8,-1164,Upstream
C1B2F2,C1B8F1,0.448638868,0.355082286,C1B2,C1B8,-1164,Upstream
C1B2F1,C1B8F2,0.395238153,0.351679566,C1B2,C1B8,-1164,Upstream
C1B2F1,C1B8F1,0.415543354,0.341106848,C1B2,C1B8,-1164,Upstream
C1B2F2,C1B8F2,0.421136394,0.306497709,C1B2,C1B8,-1164,Upstream
C1B2F3,C1B8F2,0.421625067,0.306177268,C1B2,C1B8,-1164,Upstream
C1B3F2,C1B8F3,0.41567581,0.708027567,C1B3,C1B8,-982,Upstream
C1B3F2,C1B8F2,0.396825613,0.695179252,C1B3,C1B8,-982,Upstream
C1B3F2,C1B8F1,0.417988983,0.662947424,C1B3,C1B8,-982,Upstream
C1B3F3,C1B8F3,0.425594283,0.399937123,C1B3,C1B8,-982,Upstream
C1B3F1,C1B8F3,0.427790651,0.384892575,C1B3,C1B8,-982,Upstream
C1B3F3,C1B8F2,0.395402396,0.351000205,C1B3,C1B8,-982,Upstream
C1B3F3,C1B8F1,0.416699738,0.341823006,C1B3,C1B8,-982,Upstream
C1B3F1,C1B8F1,0.43561449,0.336288437,C1B3,C1B8,-982,Upstream
C1B3F1,C1B8F2,0.408490368,0.325590343,C1B3,C1B8,-982,Upstream
C1B2F3,C1B7F2,0.487344022,0.444175484,C1B2,C1B7,-974,Upstream
C1B2F3,C1B7F1,0.45240307,0.437271914,C1B2,C1B7,-974,Upstream
C1B2F1,C1B7F3,0.409865087,0.41896296,C1B2,C1B7,-974,Upstream
C1B2F3,C1B7F3,0.441538274,0.416290998,C1B2,C1B7,-974,Upstream
C1B2F2,C1B7F2,0.486549149,0.409170419,C1B2,C1B7,-974,Upstream
C1B2F2,C1B7F3,0.443376362,0.407314303,C1B2,C1B7,-974,Upstream
C1B2F2,C1B7F1,0.459652979,0.400804059,C1B2,C1B7,-974,Upstream
C1B2F1,C1B7F2,0.468451944,0.384384834,C1B2,C1B7,-974,Upstream
C1B2F1,C1B7F1,0.417921134,0.37607016,C1B2,C1B7,-974,Upstream
C1B3F2,C1B7F3,0.413048822,0.673161918,C1B3,C1B7,-792,Upstream
C1B3F2,C1B7F1,0.428161979,0.662182252,C1B3,C1B7,-792,Upstream
C1B3F2,C1B7F2,0.486288859,0.654870843,C1B3,C1B7,-792,Upstream
C1B3F3,C1B7F3,0.423814867,0.409600855,C1B3,C1B7,-792,Upstream
C1B3F1,C1B7F3,0.42606388,0.404039082,C1B3,C1B7,-792,Upstream
C1B3F1,C1B7F2,0.489813664,0.391917291,C1B3,C1B7,-792,Upstream
C1B3F1,C1B7F1,0.440811288,0.385754537,C1B3,C1B7,-792,Upstream
C1B3F3,C1B7F2,0.483074073,0.363116493,C1B3,C1B7,-792,Upstream
C1B3F3,C1B7F1,0.441760024,0.360583733,C1B3,C1B7,-792,Upstream
C1B4F2,C1B8F3,0.4195669,0.435432733,C1B4,C1B8,-780,Upstream
C1B4F1,C1B8F3,0.403894261,0.432905205,C1B4,C1B8,-780,Upstream
C1B4F3,C1B8F3,0.412464528,0.414139367,C1B4,C1B8,-780,Upstream
C1B4F1,C1B8F2,0.396614309,0.397442332,C1B4,C1B8,-780,Upstream
C1B4F3,C1B8F2,0.384535234,0.395959835,C1B4,C1B8,-780,Upstream
C1B4F2,C1B8F2,0.404775126,0.394014076,C1B4,C1B8,-780,Upstream
C1B4F1,C1B8F1,0.419147521,0.332763984,C1B4,C1B8,-780,Upstream
C1B4F3,C1B8F1,0.416131297,0.331941216,C1B4,C1B8,-780,Upstream
C1B4F2,C1B8F1,0.423291588,0.327034419,C1B4,C1B8,-780,Upstream
C1B5F2,C1B8F3,0.397388242,0.436524874,C1B5,C1B8,-595,Upstream
C1B5F2,C1B8F1,0.412090147,0.410813564,C1B5,C1B8,-595,Upstream
C1B5F2,C1B8F2,0.38079941,0.390709854,C1B5,C1B8,-595,Upstream
C1B5F1,C1B8F3,0.421790319,0.351104249,C1B5,C1B8,-595,Upstream
C1B5F3,C1B8F3,0.401619811,0.324770499,C1B5,C1B8,-595,Upstream
C1B5F3,C1B8F1,0.405166885,0.313845384,C1B5,C1B8,-595,Upstream
C1B5F1,C1B8F1,0.423925898,0.305945659,C1B5,C1B8,-595,Upstream
C1B5F1,C1B8F2,0.401008462,0.297682006,C1B5,C1B8,-595,Upstream
C1B5F3,C1B8F2,0.375876889,0.268890235,C1B5,C1B8,-595,Upstream
C1B4F1,C1B7F3,0.406911812,0.434657225,C1B4,C1B7,-590,Upstream
C1B4F2,C1B7F3,0.410064682,0.431685963,C1B4,C1B7,-590,Upstream
C1B4F3,C1B7F3,0.405098518,0.405651437,C1B4,C1B7,-590,Upstream
C1B4F1,C1B7F2,0.484075723,0.355663272,C1B4,C1B7,-590,Upstream
C1B4F2,C1B7F2,0.480178855,0.344026565,C1B4,C1B7,-590,Upstream
C1B4F1,C1B7F1,0.435778981,0.342518466,C1B4,C1B7,-590,Upstream
C1B4F2,C1B7F1,0.431034423,0.333087413,C1B4,C1B7,-590,Upstream
C1B4F3,C1B7F1,0.417719334,0.325810351,C1B4,C1B7,-590,Upstream
C1B4F3,C1B7F2,0.471293708,0.308991067,C1B4,C1B7,-590,Upstream
C1B5F2,C1B7F2,0.471189895,0.463681169,C1B5,C1B7,-405,Upstream
C1B5F2,C1B7F1,0.417094328,0.45709841,C1B5,C1B7,-405,Upstream
C1B5F2,C1B7F3,0.395946485,0.435749718,C1B5,C1B7,-405,Upstream
C1B5F3,C1B7F2,0.469963534,0.366606302,C1B5,C1B7,-405,Upstream
C1B5F3,C1B7F1,0.408652213,0.357591098,C1B5,C1B7,-405,Upstream
C1B5F1,C1B7F2,0.47530874,0.356298843,C1B5,C1B7,-405,Upstream
C1B5F3,C1B7F3,0.388249999,0.352436782,C1B5,C1B7,-405,Upstream
C1B5F1,C1B7F1,0.427257869,0.350806526,C1B5,C1B7,-405,Upstream
C1B5F1,C1B7F3,0.409361259,0.347886922,C1B5,C1B7,-405,Upstream
C1B6F3,C1B8F3,0.433683954,0.449233017,C1B6,C1B8,-400,Upstream
C1B6F3,C1B8F2,0.405563773,0.432484405,C1B6,C1B8,-400,Upstream
C1B6F2,C1B8F3,0.406197002,0.414507721,C1B6,C1B8,-400,Upstream
C1B6F2,C1B8F2,0.384789814,0.390304262,C1B6,C1B8,-400,Upstream
C1B6F3,C1B8F1,0.421431498,0.38360527,C1B6,C1B8,-400,Upstream
C1B6F2,C1B8F1,0.417006665,0.333678931,C1B6,C1B8,-400,Upstream
C1B6F1,C1B8F1,0.447818642,0.33203421,C1B6,C1B8,-400,Upstream
C1B6F1,C1B8F3,0.43966164,0.304817739,C1B6,C1B8,-400,Upstream
C1B6F1,C1B8F2,0.424545642,0.281385236,C1B6,C1B8,-400,Upstream
C1B6F3,C1B7F3,0.434014939,0.427296363,C1B6,C1B7,-210,Upstream
C1B6F2,C1B7F3,0.400950384,0.41337165,C1B6,C1B7,-210,Upstream
C1B6F1,C1B7F2,0.500951094,0.368014582,C1B6,C1B7,-210,Upstream
C1B6F1,C1B7F1,0.436346835,0.363694266,C1B6,C1B7,-210,Upstream
C1B6F1,C1B7F3,0.44435967,0.358617352,C1B6,C1B7,-210,Upstream
C1B6F3,C1B7F1,0.450830327,0.342632529,C1B6,C1B7,-210,Upstream
C1B6F3,C1B7F2,0.494055941,0.330048731,C1B6,C1B7,-210,Upstream
C1B6F2,C1B7F1,0.419751584,0.311478484,C1B6,C1B7,-210,Upstream
C1B6F2,C1B7F2,0.471284282,0.304231393,C1B6,C1B7,-210,Upstream
C1B7F2,C1B8F3,0.477060084,0.341857076,C1B7,C1B8,-190,Upstream
C1B7F1,C1B8F3,0.439848963,0.341355502,C1B7,C1B8,-190,Upstream
C1B7F3,C1B8F1,0.420303844,0.32887431,C1B7,C1B8,-190,Upstream
C1B7F3,C1B8F3,0.407431053,0.326379069,C1B7,C1B8,-190,Upstream
C1B7F1,C1B8F2,0.416335,0.322961695,C1B7,C1B8,-190,Upstream
C1B7F2,C1B8F2,0.470865452,0.321681231,C1B7,C1B8,-190,Upstream
C1B7F3,C1B8F2,0.399952577,0.297305414,C1B7,C1B8,-190,Upstream
