gene,C1B1,C1B2,C1B3,C1B4,C1B5,C1B6,C1B7,C1B8,C1B9,C1B10,C1B11,C2B2,C2B3,C2B4,C2B5
K00169,-0.259601123,-0.423792341,-0.229906826,-0.231813667,0.34952977,-0.39775691,0.370279868,0.69258282,-0.42329958,-0.373591327,-0.092793639,-0.653367803,-0.914184802,-0.703694548,-0.240506302
K00170,-0.605737889,-0.726969999,-0.441449304,-0.497802733,-0.097035537,-0.75038962,-0.149434998,0.230004647,-0.80679478,-0.448414027,-0.274554031,-0.939759051,-1.347290618,-0.763177225,-1.219402309
K00171,-0.603999641,-0.615903086,-0.579565542,-0.460853476,-0.056869992,-0.857066671,-1.781327323,-0.887957741,-1.649286128,-0.655758247,-0.196171595,-1.607632242,-0.893616407,-0.395752753,-0.487885177
K00172,0.745569022,0.016258329,0.906797348,1.176148203,0.558637918,0.312102913,2.409952912,2.445710895,1.221913717,0.070157974,0.171725476,0.599826092,-0.503602892,-0.56097476,0.520187491
K03737,-1.319298973,-1.667970048,-1.337163668,-1.482242319,-1.398968253,-2.187448549,-1.538354666,-1.166938372,-2.117040079,-1.160382148,-1.321477482,-2.581348697,-1.64567608,-1.277249278,-0.297908461
K01006,-0.152776268,0.351848011,0.230468237,-0.145232903,0.489437364,-0.476725226,-0.924849049,-0.422593966,-1.2016547,-0.142830645,0.255612453,-1.822512011,-0.559444138,-0.390180067,-0.510693384
K01007,-0.999842996,-1.21327947,-0.74786539,-2.239157792,-1.9397066,-1.576226523,-1.500169483,-0.876132133,-2.925881117,-1.964795368,-1.886727066,-2.595336779,-3.046012108,-1.789696779,-5.656970588
K01595,2.240679076,2.522526593,2.095272361,1.629838201,1.9116672,1.754676532,1.535214058,2.823259463,1.445882867,1.258295582,0.828649678,0.701387992,0.689972117,1.411399883,0.32743202
K01958,-1.102779164,-1.201472242,-0.321743193,-3.358884949,-1.357962788,-1.663514943,-4.447130776,-2.300316092,-3.386949597,-2.151740435,-3.533034003,-3.348002178,-3.4730018,0.08275497,-2.418341465
K01960,0.904015662,0.022190349,0.79137819,0.924230619,0.478927769,-0.108560311,2.048177001,1.926116038,1.044741358,0.431399211,0.633877718,1.079606709,0.270181554,0.257288335,1.091650591
K00024,0.557262714,0.973758585,0.761460698,0.724385928,1.080879535,0.187276964,-0.62561922,-0.311945094,-0.753384111,0.323121091,0.332410835,-0.873970601,0.523965194,0.562088441,0.675441685
K01676,0.901821092,0.758102468,0.960278288,1.252848724,0.601073438,1.658804722,0.544129396,0.029812408,1.475497644,1.319752895,0.655795042,0.523371588,0.717101413,1.13292423,1.283291545
K01679,-0.13051497,-0.257362988,-0.46173764,-0.623167098,-0.244523293,-0.973782693,-0.714842063,-0.340569056,-1.396817721,-0.51494166,-0.390445747,-1.386681208,-0.757421782,-0.056664736,-0.97973738
K00239,-0.054188095,0.276960448,0.151911347,-0.180209219,0.251978115,-0.302175398,0.15504255,0.322059879,-0.512021626,0.038784687,-0.055939984,-0.323462416,-0.674007716,-0.33708849,-0.905876206
K00240,-0.446277569,0.032269397,-0.164536987,-0.530765134,-0.065478535,-0.756570153,0.016768325,0.447783797,-0.812152802,-0.342738427,-0.222901335,-0.875139361,-1.262850268,-0.809151231,-0.619719238
