gene,C1B1,C1B2,C1B3,C1B4,C1B5,C1B6,C1B7,C1B8,C1B9,C1B10,C1B11,C2B2,C2B3,C2B4,C2B5
K03413 (cheY),2.474330063,0.405003991,2.560267179,3.43116402,1.309685357,3.028781541,2.499869228,1.313510437,3.104855255,2.384846774,1.790737226,3.871075513,3.299310103,2.249840802,2.414592611
K03415 (cheV),4.93437968,2.677995853,5.155036707,6.266432096,3.615524544,6.055886407,6.01186662,5.582572602,6.397679364,5.357487835,4.801715988,7.893805691,5.292918858,4.68268505,4.369154635
K03407 (cheA),4.616331745,2.167047991,4.440534848,5.398398655,3.656880258,4.970781203,5.130051786,4.013286029,5.433315494,4.074153376,3.518564234,5.834058159,4.510197973,3.215085673,4.184532975
K03408 (cheW),2.261544486,0.481193008,2.169435114,3.455032123,0.704458461,2.673459992,2.860231741,1.512773012,3.410999804,1.986539067,1.849514199,3.940427616,2.624159693,0.91388144,1.738884398
K03406 (mcp),3.735851018,1.46606842,3.901473532,4.886003419,2.974776163,4.441905736,4.313784156,3.660567574,4.97402602,3.657294365,3.258805403,4.915545567,3.886462536,2.302549053,3.438913089
K02557 (motA),-1.333774816,-1.511176669,-1.456370676,-1.533854391,-2.27598362,-1.994651653,-1.641759917,-1.87846626,-2.109951194,-1.189435406,-1.697424341,-2.2354157,-1.027255712,-0.694714905,-0.316243351
K02556 (motB),-0.687258237,-1.265289886,-0.399621695,-0.372393616,-0.985232754,-0.919380347,-1.967241032,-2.508583999,-1.235358352,-0.483494977,-0.138963621,-1.527663101,0.81286358,-0.332312817,-0.196873076
K02410 (fliG),-0.26689753,-0.049101091,-0.489909941,-0.52405714,-0.374215608,-1.215224836,-0.002838172,-0.212370769,-0.863689369,-0.211368989,-0.40440203,-0.029208792,0.138895343,-0.854291401,0.030839254
K02416 (fliM),-1.07703999,-1.306220829,-0.70944088,-0.926242366,-1.852762342,-1.545837282,-1.247129902,-1.648657861,-1.707849888,-1.321105406,-0.415541379,-2.186141664,-0.830717127,-0.766515189,-1.565996704
K02417 (fliN),0.791394375,1.325746187,0.795408948,0.823463121,1.392620941,0.348652421,0.126753186,0.653185952,-1.0910817,-0.438459247,-0.114730507,-1.696734395,-1.790988583,-1.030043723,-1.60008115
