gene,C1B1,C1B2,C1B3,C1B4,C1B5,C1B6,C1B7,C1B8,C1B9,C1B10,C1B11,C2B2,C2B3,C2B4,C2B5
K03413 (cheY),3.94E-05,5.98E-01,0.000179228,3.00E-09,0.060583685,1.31E-07,5.48E-05,0.045529486,2.73E-08,0.000119746,0.012219018,2.68E-12,9.26E-09,0.000358038,8.88E-05
K03415 (cheV),2.81E-06,2.40E-02,3.08E-06,1.25E-09,0.002866049,1.96E-09,8.69E-09,5.35E-08,6.29E-11,3.89E-07,2.82E-05,3.96E-16,3.70E-07,1.87E-05,0.000121048
K03407 (cheA),1.84E-22,3.79E-05,1.36E-17,1.04E-30,1.82E-13,2.48E-26,4.86E-27,4.07E-17,2.97E-32,2.59E-17,4.11E-12,1.47E-36,1.85E-21,1.06E-10,1.20E-17
K03408 (cheW),0.000562952,0.554603864,0.004119399,2.94E-08,0.424014297,2.38E-05,1.40E-05,0.029817591,7.79E-09,0.004838913,0.018005705,2.90E-11,4.22E-05,0.324300052,0.016350709
K03406 (mcp),1.22E-25,2.74E-04,1.63E-23,2.54E-44,1.13E-15,5.30E-37,1.49E-33,5.05E-25,2.96E-47,1.26E-24,7.93E-19,2.05E-45,5.58E-28,1.11E-09,5.12E-21
K02557 (motA),4.58E-03,1.07E-03,0.007445049,0.001536822,9.53E-07,8.10E-06,0.00084734,2.52E-05,4.36E-07,0.015860938,0.000788823,4.55E-07,0.033301896,0.252548015,0.603071852
K02556 (motB),2.99E-01,2.62E-02,0.62047786,0.58598647,0.107582895,0.103358088,0.00101108,2.26E-06,0.017950318,0.486897708,0.884268812,0.004832822,0.178152074,0.722377469,0.783617409
K02410 (fliG),7.85E-01,9.58E-01,0.608896435,0.529058452,0.665889277,0.081306944,1,0.79707437,0.188969864,0.81404612,0.709414889,0.971294787,0.871978692,0.349856764,0.982596914
K02416 (fliM),2.10E-01,9.78E-02,0.492795672,0.287721134,0.024272799,0.040864252,0.138416171,0.031473961,0.014307118,0.114986915,0.728542123,0.003442414,0.332773451,0.478948572,0.058982716
K02417 (fliN),4.67E-02,2.13E-04,0.053027041,0.032133461,8.42E-05,0.375314555,0.763038849,0.088778619,0.001482088,0.315138094,0.849697459,2.84E-07,1.26E-07,0.008849766,3.17E-06
