gene,C1B1,C1B2,C1B3,C1B4,C1B5,C1B6,C1B7,C1B8,C1B9,C1B10,C1B11,C2B2,C2B3,C2B4,C2B5
K00170 (porB),-0.605737889,-0.726969999,-0.441449304,-0.497802733,-0.097035537,-0.75038962,-0.149434998,0.230004647,-0.80679478,-0.448414027,-0.274554031,-0.939759051,-1.347290618,-0.763177225,-1.219402309
K00171 (porD),-0.603999641,-0.615903086,-0.579565542,-0.460853476,-0.056869992,-0.857066671,-1.781327323,-0.887957741,-1.649286128,-0.655758247,-0.196171595,-1.607632242,-0.893616407,-0.395752753,-0.487885177
K00172 (porC),0.745569022,0.016258329,0.906797348,1.176148203,0.558637918,0.312102913,2.409952912,2.445710895,1.221913717,0.070157974,0.171725476,0.599826092,-0.503602892,-0.56097476,0.520187491
K00169 (porA),-0.259601123,-0.423792341,-0.229906826,-0.231813667,0.34952977,-0.39775691,0.370279868,0.69258282,-0.42329958,-0.373591327,-0.092793639,-0.653367803,-0.914184802,-0.703694548,-0.240506302
K06281 (hyaB),-0.337570998,-0.240782012,-0.239489344,-0.081488044,-0.384876631,-0.334512838,-2.547184653,-3.252848978,-1.119967023,-0.488043657,-0.310809598,-1.655764113,0.313450431,-0.042714146,0.803364054
K06282 (hyaA),-0.824886822,-0.364355952,-1.099680495,-1.234202021,-1.156611508,-1.295733782,-3.3100019,-3.441091198,-1.819248613,-1.211155144,-1.195400077,-1.68401134,0.011014339,0.209954095,0.129439203
K10680 (nemA),2.845250539,3.115406979,4.324951165,2.314204408,1.908465784,0.08974086,-1.564090302,1.885792885,1.641449809,1.97655094,2.381280897,-3.500631914,1.64091736,0.606371238,-2.222934917
K11180 (dsrA),0.614516891,0.732512119,0.685872766,1.183443396,1.05786926,1.426131797,1.50181257,0.745957222,2.518630617,1.048422561,0.762795728,2.314570209,1.759983579,1.606225189,2.160681735
K11181 (dsrB),0.69761604,0.978878821,1.155882679,1.499575314,1.321074536,2.202429075,2.230175895,1.941328301,3.276068254,1.449182878,1.115584177,2.674664718,1.314597941,1.216486415,1.57206158
K23548 (hupU),0.261910698,0.711205843,0.554016431,0.480249381,1.305802088,1.330396653,0.274163612,0.36954865,0.271834182,0.972284738,0.885771625,-0.929428208,-0.161305596,-0.285459863,0.150302874
K23549 (hupV),0.593896776,0.538864242,0.637212185,0.825055747,0.971272127,1.025921592,-0.203874003,-0.005967054,0.625412019,0.871662368,0.520502573,-0.03419449,0.12996677,0.227879998,0.795656938
