gene,C1B1,C1B2,C1B3,C1B4,C1B5,C1B6,C1B7,C1B8,C1B9,C1B10,C1B11,C2B2,C2B3,C2B4,C2B5
K00170 (porB),0.018494028,0.003202196,0.165944655,0.061783311,0.757106021,0.001696408,0.603593044,0.426601,0.000382505,0.102316229,0.409211963,4.4879E-05,1.98845E-09,0.002780598,2.1882E-07
K00171 (porD),0.263024526,0.227447825,0.341827233,0.380853135,0.929608942,0.059178648,9.11852E-05,0.058059693,7.32547E-05,0.211176533,0.782252394,0.000174551,0.061040329,0.574998813,0.355182686
K00172 (porC),0.002285582,0.963975578,0.000865521,7.15217E-07,0.039644879,0.244813655,3.28241E-28,1.3896E-31,1.52522E-08,0.841357636,0.677467245,0.014636356,0.060559886,0.056065041,0.058852321
K00169 (porA),0.294599207,0.05027956,0.419348803,0.333163909,0.122839456,0.054478932,0.086392009,0.000426827,0.031181603,0.104934567,0.775305173,0.000932005,2.28327E-06,0.000737431,0.31688887
K06281 (hyaB),0.097991486,0.243470961,0.317042136,0.720332588,0.046738186,0.067205747,3.45963E-52,1.02133E-95,2.06811E-12,0.010557015,0.161862362,2.35905E-25,0.112214276,0.914322049,2.31987E-06
K06282 (hyaA),3.28119E-08,0.030764789,2.65547E-11,3.24509E-17,4.2671E-15,1.42859E-19,1.05477E-93,1.2979E-129,3.52871E-40,4.51297E-17,6.64314E-16,2.83289E-32,0.96505759,0.343382499,0.51768043
K10680 (nemA),0.088966604,0.050343147,0.009526964,0.185836919,0.301506402,0.965979492,0.479410969,0.273377818,0.286369953,0.274342754,0.221648125,0.082020384,0.363226579,0.837103782,0.349871874
K11180 (dsrA),0.001650258,0.000109659,0.001169922,1.79464E-11,3.26888E-09,6.4785E-17,1.26211E-18,5.14111E-05,5.2928E-53,5.16488E-09,0.00010095,1.49386E-44,2.66282E-25,1.53377E-20,1.70975E-37
K11181 (dsrB),0.01182096,0.000161714,3.45751E-05,7.0314E-10,1.00283E-07,1.7153E-21,5.77025E-22,8.45431E-17,3.88514E-48,3.25912E-09,2.37239E-05,5.78805E-32,8.73651E-08,1.52535E-06,8.74735E-11
K23548 (hupU),0.758261679,0.283578659,0.497022877,0.511612406,0.035346263,0.020592866,0.712260713,0.61045512,0.643829423,0.142688857,0.238753561,0.14569568,0.829837999,0.795845536,0.861144077
K23549 (hupV),0.259142636,0.290399256,0.280922532,0.096841586,0.0423137,0.019863325,0.722690769,0.997383067,0.155077748,0.076500857,0.399294707,0.948719846,0.81877261,0.782956684,0.1046962
