gene,C1B1,C1B2,C1B3,C1B4,C1B5,C1B6,C1B7,C1B8,C1B9,C1B10,C1B11,C2B2,C2B3,C2B4,C2B5
K00330 (nuoA),0.034742899,0.233632302,0.226946773,0.297395299,0.530254373,0.439068961,0.314685451,-0.115591437,0.276188786,0.205610116,0.164107494,0.569196724,0.190166738,0.213179602,0.882823237
K00331 (nuoB),0.342107118,0.413444019,0.365752596,0.467897279,0.341150231,0.596109027,0.692873601,0.556322108,0.556392912,0.38696037,0.295362913,-0.262548625,-0.371928892,-0.278486272,-0.039185911
K00332 (nuoC),-0.058797231,-0.332093584,-0.194299225,-0.02186804,-0.592656355,0.573619068,0.681473132,0.503415118,0.919725187,0.464788636,0.16787813,1.146236312,0.150661349,-0.340479739,0.059172393
K00333 (nuoD),-0.087914366,-0.393205888,0.018216144,0.207833727,-0.128571412,0.893648222,1.0408253,0.671184344,1.078789735,0.225766583,-0.045283672,0.706646912,-0.022618553,-0.328149035,-0.735838437
K13378 (nuoCD),2.260205206,2.549450399,2.304569194,1.830535867,2.875337881,1.345848857,0.959254498,1.632074988,1.019664464,1.260886777,1.265300057,0.531578045,0.761211953,1.267445043,1.003624127
K00334 (nuoE),-0.635242987,-0.510036508,-0.675722109,-0.490841503,-0.557603807,-0.334145888,-0.153623696,-0.650042108,-0.058799134,-0.429712463,-0.559639421,0.558466028,0.122759928,-0.459847693,-0.845242836
K00335 (nuoF),0.034515869,0.204244057,0.116245012,0.099024412,0.297224261,0.570244152,0.362103491,0.377422914,0.645974455,0.204845155,-0.292673237,0.915625133,0.196737746,0.126382531,0.050324511
K00336 (nuoG),1.317647155,1.280725602,1.440828655,1.626427309,1.643742775,2.240052034,2.205797607,1.838899789,2.46269734,1.421955026,0.981495134,2.16752619,1.104164668,0.68905853,0.962079689
K00337 (nuoH),0.523110986,0.697707427,0.764441829,0.6067017,0.793531588,1.039232331,0.803479237,0.784251582,0.888775918,0.381110453,0.30114163,0.182860177,-0.394201949,-0.223516124,-0.20716256
K00338 (nuoI),-0.221574833,-0.365405482,-0.305745719,-0.125059628,-0.132802169,0.6218152,0.254641664,0.008290681,0.731618408,0.435197831,0.254984954,1.283944358,0.687000939,-0.16626485,1.107831354
K00339 (nuoJ),0.853813788,1.269417354,1.285352466,1.05860644,1.20963909,1.111844644,0.872570723,0.671693248,1.038640107,0.555449301,0.659001709,0.405069008,-0.03904295,-0.012426573,1.403957748
K00340 (nuoK),1.73864555,1.661898397,1.460688612,1.746270222,1.366800064,1.251878612,1.698410962,0.516629721,2.03363185,1.616118255,0.574071925,3.354510408,1.97621358,1.49955495,0.277543551
K00341 (nuoL),0.985539961,1.053333211,1.006120518,0.835990625,1.15591653,1.109824082,1.368501161,1.371668141,1.253730258,0.67569065,0.499842692,0.594145865,-0.255074189,0.20330258,-0.237095097
K00342 (nuoM),1.118100169,1.280949033,0.985700989,0.8668321,1.39829873,1.040864314,1.236960151,1.66241332,1.118417582,0.394142744,0.24071719,0.27926168,-0.524963543,-0.419613559,-0.346239958
K00343 (nuoN),0.573020929,0.639610359,0.566083184,0.556099025,0.48156722,1.339938043,1.18940848,0.999643355,1.280860756,0.102180167,0.171580556,0.692769031,0.372653137,-0.055482474,2.031878933
K00404 (ccoN),0.811513982,0.32940892,0.713139536,1.038086276,0.737415716,1.122987378,0.960393544,0.660095974,0.82758993,0.551779445,0.544758988,0.608939244,0.69158519,0.598886585,1.457232562
K00405 (ccoO),1.158792659,0.130198025,1.180268394,1.476360769,1.117514723,1.672056685,0.862871894,0.697835502,1.105250256,1.463484075,1.502372284,1.566528829,2.640681114,1.925702366,2.519467243
K00406 (ccoP),0.887207347,0.327776882,0.920646518,1.636436936,0.866591592,1.439392969,0.156531036,-0.171839474,0.706457754,1.3273084,1.290887098,0.886399909,1.939672331,1.146059478,1.807410976
K02108 (atpB),0.274656378,0.000379553,0.131412848,0.312633544,0.24981255,0.427336857,0.299498595,0.378204013,0.118460753,0.161267145,0.19361622,-0.414388534,-0.529533435,-0.255218673,-0.47403342
