gene,C1B1,C1B2,C1B3,C1B4,C1B5,C1B6,C1B7,C1B8,C1B9,C1B10,C1B11,C2B2,C2B3,C2B4,C2B5
K00330 (nuoA),0.935994595,0.494576145,0.591884251,0.378837879,0.089868584,0.13629295,0.332279107,0.745175016,0.343088192,0.57537968,0.723248738,0.044000687,0.587374938,0.644570715,0.001907714
K00331 (nuoB),0.343934344,0.207235408,0.361015485,0.155869833,0.330157403,0.041268395,0.022886688,0.068112167,0.049672992,0.26450063,0.481263521,0.421432143,0.266777929,0.537511259,0.933773767
K00332 (nuoC),0.901395542,0.356196331,0.670302398,0.960803171,0.094115583,0.066034827,0.038873735,0.124841709,0.001209374,0.191003862,0.743420534,6.39E-05,0.689116781,0.441331907,0.897629463
K00333 (nuoD),0.734518114,0.039828926,0.950988107,0.345118376,0.596541393,8.74E-08,2.77E-09,0.000112294,7.06E-12,0.301844895,0.893275787,3.82E-05,0.931799752,0.148905377,0.000181046
K13378 (nuoCD),1.28E-09,5.03E-12,3.71E-08,3.09E-06,4.31E-15,0.000745105,0.031575027,2.41E-05,0.008312413,0.00297425,0.005314078,0.227025545,0.085444037,0.003072015,0.022164628
K00334 (nuoE),0.121519828,0.210080225,0.15464076,0.258860942,0.192872253,0.405912798,0.736453754,0.095070488,0.874755345,0.331593698,0.243025383,0.132306612,0.787645983,0.360425863,0.037999332
K00335 (nuoF),0.933791186,0.527275682,0.779003337,0.779863081,0.367487731,0.035073802,0.233542758,0.205211049,0.011859496,0.555368671,0.451614552,0.000341601,0.562242912,0.803825017,0.899856989
K00336 (nuoG),3.60E-08,1.37E-07,8.80E-08,7.68E-12,4.91E-12,3.10E-23,1.65E-21,8.50E-16,5.99E-29,3.17E-09,0.000304331,7.11E-22,6.86E-06,0.016012825,0.000185484
K00337 (nuoH),0.00785021,0.000197518,0.000310539,0.003245856,4.06E-05,4.39E-09,6.26E-05,1.92E-05,2.09E-07,0.07921436,0.243368058,0.405317381,0.061090205,0.424740892,0.41746319
K00338 (nuoI),0.622483852,0.339548591,0.516377936,0.770962469,0.757106021,0.059178648,0.51457494,0.989283682,0.018276493,0.261160361,0.613846758,2.17E-05,0.043687592,0.786646691,0.00056656
K00339 (nuoJ),0.154628717,0.017533964,0.041891767,0.062568386,0.028556959,0.031899422,0.124251728,0.2485094,0.038088274,0.389193569,0.342260693,0.495287831,0.960181256,0.992924892,0.008169833
K00340 (nuoK),0.027115202,0.032049776,0.11727331,0.033210242,0.107844667,0.110324978,0.038614619,0.594526912,0.00337062,0.048192675,0.648367769,6.87E-07,0.009426587,0.095683618,0.805061344
K00341 (nuoL),0.000656919,0.000246178,0.002614606,0.006158137,5.62E-05,6.73E-05,1.03E-06,4.41E-07,2.35E-06,0.033151133,0.175328361,0.042363947,0.487091397,0.677947908,0.538123246
K00342 (nuoM),0.003328098,0.000572896,0.028013523,0.030644684,0.00015,0.004737361,0.000853308,2.07E-06,0.001530091,0.398642745,0.693062244,0.512595445,0.219690178,0.437596162,0.462027945
K00343 (nuoN),0.167166707,0.096473041,0.228118161,0.169218665,0.24486497,6.91E-05,0.00075334,0.004748925,9.57E-05,0.838224687,0.762737014,0.050561704,0.377228397,0.952437635,4.94E-10
K00404 (ccoN),0.035783318,0.44666834,0.125072707,0.005791602,0.061729282,0.001384209,0.011540719,0.082919367,0.015836371,0.188431995,0.243025383,0.098817116,0.072185775,0.194087412,2.94E-05
K00405 (ccoO),0.013710615,0.830788004,0.029055453,0.001891669,0.025139224,0.000135241,0.101696507,0.168210904,0.009897322,0.001721926,0.002830403,0.000335495,9.91E-11,1.17E-05,2.79E-09
K00406 (ccoP),0.043850617,0.50288692,0.070369142,3.70E-05,0.052166627,0.000239899,0.765140015,0.740101612,0.076243783,0.001468869,0.003916575,0.030007933,2.66E-07,0.009100547,3.56E-06
K02108 (atpB),0.136164034,1,0.582414223,0.090113676,0.188706096,0.008259617,0.102026568,0.022547691,0.463946665,0.431130154,0.397003887,0.011943467,0.001305224,0.231314355,0.008392572
K02110 (atpE),0.859789384,0.748681628,0.887965419,0.75090802,0.768742253,0.566962221,0.50759909,0.792544873,0.096477362,0.840424814,0.858159414,0.020767599,0.033580134,0.007373044,4.58E-08
K02111 (atpA),0.038893055,0.249392841,0.015186102,0.000576398,0.049795946,2.68E-14,4.32E-06,3.10E-10,1.87E-16,3.55E-06,0.00122761,1.38E-06,3.06E-06,0.723950979,0.001559081
K02112 (atpD),0.224995791,0.950671355,0.174299093,0.067207138,0.005640146,3.02E-05,0.009478045,2.56E-07,1.98E-06,0.0777278,0.469632615,0.01654449,0.013325228,0.570537516,0.046485036
K02113 (atpH),0.934412851,0.451243856,0.809833529,0.916072286,0.504554041,0.676329982,0.852357018,0.578966195,0.828155319,0.993911841,0.63731098,1.62E-06,0.142520712,0.975231066,0.581378234
K02114 (atpC),0.193673575,0.542652692,0.214215534,0.066561689,0.4788046,0.001741018,0.001914031,0.02323595,5.89E-05,0.054309328,0.720430684,5.47E-06,3.05E-10,0.175602368,0.001616802
K02126 (ATPeF0A),0.009685048,0.001766603,0.057813266,0.354750398,0.283270291,0.318749264,0.061905241,0.001962259,0.179017297,0.009285348,0.020617379,0.61906848,0.880618607,0.886220049,0.40944845
K02128 (ATPeF0C),0.395757796,0.032737062,0.14030245,0.003395345,0.018492659,6.84E-05,0.039018032,0.0001681,3.27E-06,0.023582911,0.037994129,0.277702892,0.808532842,0.734015453,0.341399318
K02130 (ATPeF0F),0.900177727,0.007909307,0.006470511,0.033096984,0.026249586,0.005459094,0.025105457,0.010343011,0.002251807,0.009327866,0.771558126,0.008075213,0.015669598,1,0.029470899
K02132 (ATPeF1A),0.012544895,1.06E-05,0.000351647,0.01024624,5.70E-09,8.07E-07,6.21E-06,0.000164538,3.31E-07,0.000149636,0.007633031,0.516434335,0.493839493,0.82006293,0.0035338
K02133 (ATPeF1B),0.555502391,0.088847943,0.330107361,0.156048925,0.04025771,0.009687282,0.000303781,0.141874808,0.000728808,0.046145969,0.024302181,0.001099085,0.071283639,0.81439245,0.25155759
K02134 (ATPeF1D),0.893235417,0.002419238,0.752741765,0.032901586,0.57437937,0.004418596,0.028336329,0.006416188,0.344118727,0.004795199,0.038858421,0.004781158,0.486310808,0.984235428,0.030115183
K02136 (ATPeF1G),0.734303075,0.171928793,0.339993778,5.88E-09,0.263802147,0.038375759,0.072063443,7.21E-13,0.095186939,1.03E-14,0.134896401,7.57E-13,0.299859731,0.961840834,6.67E-09
K02137 (ATPeF0O),0.953398648,0.008352632,0.004777492,0.640577412,0.024272799,0.005004835,0.021994479,0.641871644,0.002764674,0.009299693,0.03853236,0.007609891,0.0152058,0.981073228,0.025847042
