pathID,class
Nitrogen metabolism (ko00910),Energy metabolism
Sulfur metabolism (ko00920),Energy metabolism
Glyoxylate/dicarboxylate metabolism (ko00630),Carbohydrate metabolism
Oxidative phosphorylation (ko00190),Energy metabolism
Nitrotoluene degradation (ko00633),Xenobiotics biodegradation and metabolism
Cabon fixation in photosynthetic organisms (ko00710),Energy metabolism
Carbon fixation in prokaryotes (ko00720),Energy metabolism
Glycolysis/Gluconeogenesis (ko00010),Carbohydrate metabolism
Photosynthesis (ko00195),Energy metabolism
Pyruvate metabolism (ko00620),Carbohydrate metabolism
TCA cycle (ko00020),Carbohydrate metabolism
"Alanine, aspartate, glutamate metabolism (ko00250)",Amino acid metabolism
Purine metabolism (ko00230),Nucleotide metabolism
Butanoate metabolism (ko00650),Carbohydrate metabolism
"Glycine, serine, threonine metabolism (ko00260)",Amino acid metabolism
Aminoacyl-tRNA biosynthesis (ko00970),Translation
