pathID,C1B1,C1B2,C1B3,C1B4,C1B5,C1B6,C1B7,C1B8,C1B9,C1B10,C1B11,C2B2,C2B3,C2B4,C2B5,C1B12,C2B1
Nitrogen metabolism (ko00910),16.79577756,20.63170792,17.30801361,14.5442103,17.35613311,12.20606673,10.79535625,10.62453983,7.926353954,12.4514348,15.58290332,6.483946128,10.64650701,10.70295135,12.60214149,11.22357262,12.65590518
Sulfur metabolism (ko00920),3.465024532,2.383482613,3.639978315,5.510258608,3.375347917,9.223135267,7.176451864,5.230467987,11.40800619,5.636727217,3.875092395,12.69043416,8.269011145,5.305267642,7.003565356,2.107195943,1.988782029
Glyoxylate/dicarboxylate metabolism (ko00630),5.05692627,3.819221591,5.121768243,6.002504934,4.866509595,7.049311783,5.29157219,5.260725904,7.499052781,5.486475983,5.273331722,5.535059584,4.404822742,4.271927953,4.072467147,3.240243654,3.330886076
Oxidative phosphorylation (ko00190),3.746419363,3.129175039,3.82238131,4.096490609,3.59276576,5.093109214,6.019551172,5.382390877,5.912805439,4.183412804,3.562192819,6.720943917,5.650403078,4.41335198,6.905304818,3.585322491,4.319553087
Nitrotoluene degradation (ko00633),2.810038422,2.715472933,2.803457066,3.460324807,3.088102446,3.904554517,3.390776626,2.753446998,5.225087959,3.153293379,2.7508679,5.376296248,5.233770488,4.799047218,6.251826748,2.185071843,2.934559327
Cabon fixation in photosynthetic organisms (ko00710),3.472038935,2.364552514,3.571164181,4.461603098,3.117644905,5.563642058,4.812019496,4.242746368,7.165205407,3.693148904,3.493391345,5.337039117,2.868604227,2.674758776,2.556252452,1.303488677,1.515167802
Carbon fixation in prokaryotes (ko00720),1.852600906,1.73707223,1.807723882,1.781164923,1.983373212,1.429727477,2.155565141,2.405387129,1.308681015,1.998231743,2.028802735,1.455591735,1.836778495,2.051783008,1.731614532,2.280201685,2.398867884
Glycolysis/Gluconeogenesis (ko00010),2.451949673,2.089783334,2.388098673,2.562442082,2.500915572,2.656620954,3.678761974,3.78756409,3.508705791,2.582757694,2.629869789,3.320067613,2.38488532,2.390117301,2.135574523,2.472676401,2.593054016
Photosynthesis (ko00195),1.975515024,1.478163403,1.80029417,1.714419659,1.543471361,1.668493574,1.630340762,1.663528678,1.396648189,1.966525161,1.449385026,3.484930774,3.995164471,3.767500949,4.933952769,1.090146017,7.336774543
Pyruvate metabolism (ko00620),2.204246698,1.955508881,2.28704745,2.353366514,2.423091948,1.941026802,2.434554551,3.062570323,1.743936071,2.46888115,2.561628815,2.007206188,2.380111232,2.378441766,2.313330566,2.771239544,2.804815257
TCA cycle (ko00020),2.170828868,2.026570804,2.145445359,2.108236584,2.369195273,1.704551784,2.463272353,2.862844615,1.52410009,2.154669627,2.257557127,1.658564812,1.986186695,2.278193213,1.973854054,2.696045,2.469705781
"Alanine, aspartate, glutamate metabolism (ko00250)",1.96482466,1.648951675,1.859196068,2.027784703,1.85470482,2.562329417,2.386114885,2.09628726,2.667319656,2.291394595,1.971351402,2.314463888,2.226510137,2.19273123,1.918241318,1.658710035,1.500871231
Purine metabolism (ko00230),1.648725414,1.471619998,1.491175297,1.616685522,1.444833732,1.848048958,2.445741807,2.136865707,2.410552472,1.874850255,1.57017295,2.688539856,1.89502237,1.924633145,1.577286349,2.189501909,1.666625461
Butanoate metabolism (ko00650),1.45376914,1.425708448,1.471457985,1.458562812,1.707969139,1.151508591,1.645449324,2.044450053,0.992803203,1.757036752,1.911798192,1.134259667,1.48428474,1.694928902,1.455484223,2.137390341,2.368554853
"Glycine, serine, threonine metabolism (ko00260)",1.40140006,1.298448634,1.321863597,1.432838074,1.340214366,1.381036808,1.537959398,1.553450845,1.428524105,1.632699145,1.43712407,1.602743019,1.548091465,1.526969569,1.201530772,1.293462738,1.50780453
Aminoacyl-tRNA biosynthesis (ko00970),1.381630072,1.21625215,1.251611743,1.360828674,1.296877289,1.481592026,1.831711373,1.700752953,1.597764079,1.512073529,1.266521637,1.850009779,1.466267747,1.491759964,1.073132453,1.361429279,1.269438768
