pathID,ko00910,ko00680,ko00920,ko00630,ko00190,ko00633,ko00710,ko00010,ko00195,ko00620,ko00020,ko00250,ko00720,ko00230,ko00650,ko00260,ko00970,ko05130,ko00220,ko00030,ko00270,ko00290,ko00240,ko00640,ko00770,ko00051,ko00061,ko00660,ko00730,ko00860,ko00380,ko00760,ko00450,ko00400,ko00480,ko00280,ko00300,ko00670,ko00261,ko00780,ko00790,ko00900,ko00983,ko00310,ko00330,ko00520,ko00540,ko01051,ko00071,ko00360,ko00625,ko00460,ko00362,ko00053,ko00562,ko00340,ko00750,ko00052,ko00564,ko00361,ko00350,ko00550,ko00740,ko00333,ko00521,ko00541,ko00561,ko00410,ko00130,ko00966,ko00364,ko00623,ko00940,ko00999,ko00430,ko00643,ko00500,ko00627,ko00470,ko00401,ko00040,ko00281,ko00903,ko00930,ko00960,ko05120,ko00622,ko00332,ko00552,ko00830,ko00982,ko00980,ko05133,ko00950,ko00405,ko00626,ko00791,ko01040,ko00591,ko00785,ko00998,ko00624,ko00592,ko00514,ko00523,ko00440,ko00311,ko01055,ko00909,ko00510,ko00642,ko00565,ko00531,ko00513,ko01059,ko00525,ko00906,ko00062,ko00600,ko00981,ko00590,ko00100,ko00621,ko00908,ko00120,ko01057,ko00571,ko00534,ko00984,ko00601,ko00512,ko00603,ko00563,ko00532,ko00515,ko00572,ko00946,ko00604,ko00901,ko00965,ko00524,ko01053,ko00254,ko00140,ko00232,ko00073,ko00997,ko00365,ko00941,ko00945,ko00404,ko00363,ko00944,ko00996,location
C1B1,0.167957776,0.165218082,0.034650245,0.050569263,0.037464194,0.028100384,0.034720389,0.024519497,0.01975515,0.022042467,0.021708289,0.019648247,0.018526009,0.016487254,0.014537691,0.014014001,0.013816301,0.007168291,0.012573692,0.011886588,0.011990551,0.010368984,0.010981065,0.010282432,0.009182752,0.006489041,0.00776871,0.00651504,0.005535262,0.006297523,0.006750535,0.00765021,0.004628269,0.005964849,0.004518358,0.005030352,0.004987845,0.005278547,0.003350304,0.005627897,0.004904601,0.005126228,0.004614434,0.004758231,0.004517623,0.004261074,0.004391604,0.002625639,0.003583795,0.003841212,0.003345359,0.003142746,0.002742869,0.001899102,0.003147325,0.003054657,0.002817424,0.002452835,0.003046202,0.001815925,0.002301352,0.002852479,0.002075247,0.00229537,0.002330827,0.002136636,0.002479803,0.001631592,0.002199628,0.001728303,0.001287221,0.001216041,0.001920289,0.00159774,0.001524889,0.001124376,0.001467845,0.001307272,0.001377683,0.001329328,0.001223527,0.001141419,0.001062654,0.000819104,0.001036421,0.000672434,0.000541436,0.000938272,0.001068468,0.000749829,0.000515136,0.000508954,0.000409535,0.000628924,0.000568036,0.000374313,0.000540467,0.000427782,0.000444223,0.000341062,0.000368766,0.000266607,0.00034026,0.000207792,0.000301496,0.00025989,0.000355599,0.000235195,0.000323418,0.000179387,0.000285789,9.79477E-05,0.000183531,8.02696E-05,0.000203047,0.000178585,0.000117597,7.80306E-05,8.08043E-05,0.000125417,6.69359E-05,6.76711E-05,7.02109E-05,8.12387E-05,5.00599E-05,3.8631E-05,5.18645E-05,1.24649E-05,5.90159E-05,4.9191E-05,1.30664E-05,2.17216E-05,1.38684E-05,1.90147E-05,2.75029E-05,3.24821E-05,1.26319E-05,1.01924E-05,3.07444E-05,3.07444E-05,2.80376E-05,1.82796E-05,4.24406E-06,1.91484E-05,5.98179E-06,6.04863E-06,2.767E-05,2.40608E-06,1.5038E-06,1.5038E-06,5.2466E-06,3.40862E-06,0,7.01774E-07,South Plume
C1B2,0.206317079,0.209042421,0.023834826,0.038192216,0.03129175,0.027154729,0.023645525,0.020897833,0.014781634,0.019555089,0.020265708,0.016489517,0.017370722,0.0147162,0.014257084,0.012984486,0.012162522,0.005862272,0.010144971,0.01028136,0.010810891,0.009388441,0.009548525,0.009176386,0.008873316,0.005082718,0.006752229,0.006290017,0.00513967,0.006589183,0.00794566,0.007749762,0.004242039,0.005496057,0.003586352,0.005187332,0.004819905,0.004376677,0.00307917,0.005719017,0.004796747,0.004502294,0.00431407,0.005837768,0.00416893,0.004019213,0.003603585,0.002492284,0.003566021,0.003712373,0.00332852,0.002706627,0.002682527,0.001715019,0.002824974,0.002872501,0.002856479,0.00183525,0.002930665,0.001891125,0.002067905,0.003444309,0.002081907,0.002131723,0.002191233,0.001973658,0.002577375,0.001585362,0.002346471,0.00150431,0.001357016,0.001263847,0.002057672,0.001425278,0.001612559,0.00111763,0.00145611,0.001310431,0.001292659,0.001080739,0.001150212,0.001181718,0.001160041,0.000850777,0.000741721,0.000523876,0.000516067,0.000730007,0.001240958,0.000891573,0.000545822,0.000541649,0.00030132,0.000416435,0.000465982,0.00046302,0.000466251,0.000474734,0.000525223,0.00035706,0.000347635,0.000336999,0.000277893,0.000183108,0.000248946,0.000314784,0.000447806,0.00022121,0.000298223,0.00012077,0.000241002,7.94364E-05,0.000197649,2.57159E-05,0.000206535,0.000152276,9.31695E-05,2.61198E-05,3.00243E-05,0.000118885,4.40266E-05,7.83593E-05,6.04525E-05,8.05135E-05,0.000104748,4.52384E-05,5.022E-05,2.69276E-06,7.60705E-05,2.51773E-05,2.39656E-05,1.73683E-05,2.55812E-06,8.61683E-06,9.42466E-06,4.8335E-05,1.99264E-05,8.21292E-06,4.06607E-05,4.06607E-05,2.66583E-05,1.69644E-05,9.42466E-07,2.96204E-06,2.8274E-06,2.55812E-06,4.57769E-06,4.03914E-06,8.07828E-07,8.07828E-07,4.03914E-07,1.34638E-07,0,0,South Plume
C1B3,0.173080136,0.174238796,0.036399783,0.051217682,0.038223813,0.028034571,0.035711642,0.023880987,0.018002942,0.022870474,0.021454454,0.018591961,0.018077239,0.014911753,0.01471458,0.013218636,0.012516117,0.007791196,0.011909864,0.010664851,0.010769153,0.012448161,0.009783644,0.009873212,0.009406801,0.006358297,0.007136542,0.006626106,0.005334837,0.006339009,0.007853438,0.007505973,0.004115274,0.005480841,0.00427521,0.004862443,0.004629639,0.004994159,0.002951167,0.0053777,0.00467036,0.004577488,0.004373886,0.005470572,0.004186535,0.004002757,0.004009008,0.002162921,0.003316313,0.003573941,0.003345603,0.003145215,0.00265005,0.00206237,0.002726043,0.002879371,0.002527441,0.002091571,0.00252128,0.001892701,0.002113985,0.002465557,0.00198843,0.002090499,0.002153009,0.001945924,0.002198552,0.00157158,0.002142382,0.00165579,0.001344313,0.001263587,0.001788132,0.001270999,0.001515322,0.001144908,0.001282875,0.001237958,0.001223402,0.001183396,0.001212061,0.001118118,0.001065878,0.000789943,0.000868437,0.000762974,0.000566605,0.000840754,0.00093809,0.000712252,0.000578482,0.00058634,0.00046266,0.00050731,0.000502756,0.000410599,0.000504274,0.000464089,0.000440693,0.000339248,0.000347911,0.00029058,0.000319513,0.000320764,0.000285401,0.000267898,0.000384166,0.000186546,0.000239055,9.54611E-05,0.000261112,5.71516E-05,0.000164043,3.56305E-05,0.000211461,0.000127698,0.000243609,6.34919E-05,6.19738E-05,0.000126448,8.21555E-05,9.20677E-05,5.64372E-05,5.53656E-05,6.03664E-05,7.51901E-05,4.71501E-05,5.44726E-06,7.22432E-05,3.53626E-05,1.82171E-05,2.96474E-05,3.39338E-06,1.00908E-05,1.00908E-05,2.1164E-05,8.30485E-06,1.54488E-05,3.36659E-05,3.36659E-05,1.83957E-05,1.07159E-05,1.96459E-06,9.28714E-06,1.05373E-05,3.75058E-06,3.48268E-06,4.46497E-06,3.48268E-06,3.48268E-06,2.85758E-06,1.25019E-06,2.67898E-07,0,South Plume
C1B4,0.145442103,0.141235761,0.055102586,0.060025049,0.040964906,0.034603248,0.044616031,0.025624421,0.017144197,0.023533665,0.021082366,0.020277847,0.017811649,0.016166855,0.014585628,0.014328381,0.013608287,0.009231108,0.013580476,0.011982364,0.011415228,0.013000428,0.010583892,0.010311746,0.009696935,0.007413492,0.008029296,0.006877146,0.005844184,0.006173937,0.006256375,0.00703507,0.004521197,0.005902784,0.004712891,0.004683094,0.005110184,0.005579984,0.003550808,0.005881926,0.004829099,0.004619527,0.004278848,0.004212302,0.003986838,0.004398036,0.004673162,0.00248209,0.003079023,0.003411756,0.002819789,0.003542862,0.002711526,0.002284436,0.002522812,0.002925071,0.002514866,0.002571481,0.002486062,0.001772921,0.002176174,0.00231622,0.001909987,0.002452293,0.001946737,0.001918926,0.0018494,0.001533552,0.00201229,0.001788813,0.001206778,0.001151157,0.001572288,0.001293189,0.001248494,0.001104475,0.001438202,0.001012105,0.001321993,0.001377614,0.001252467,0.00105382,0.000910795,0.000690297,0.001082624,0.000806505,0.000577068,0.000932646,0.000773729,0.000582035,0.000480725,0.000479732,0.000307902,0.000638649,0.000599913,0.000330747,0.000468806,0.000317835,0.000418151,0.000397293,0.000458874,0.000237383,0.000378422,0.000225464,0.000304923,0.000237383,0.000256254,0.000189708,0.000250295,0.000184741,0.000322801,7.54857E-05,0.000125147,4.76752E-05,0.000154944,0.000161897,0.000183748,2.28444E-05,2.28444E-05,0.000106276,5.9594E-05,4.17158E-05,4.96617E-05,5.9594E-05,3.17835E-05,5.36346E-05,4.76752E-05,9.93233E-06,3.07902E-05,3.97293E-05,1.19188E-05,1.88714E-05,2.9797E-06,3.07902E-05,4.96617E-06,2.58241E-05,2.68173E-05,6.95263E-06,1.39053E-05,1.39053E-05,1.98647E-05,1.98647E-05,0,1.09256E-05,0,4.96617E-06,4.96617E-06,5.9594E-06,6.95263E-06,6.95263E-06,4.96617E-06,2.9797E-06,9.93233E-07,0,South Plume
C1B5,0.173561331,0.173756043,0.033753479,0.048665096,0.035927658,0.030881024,0.031176449,0.025009156,0.015434714,0.024230919,0.023691953,0.018547048,0.019833732,0.014448337,0.017079691,0.013402144,0.012968773,0.005609405,0.011643635,0.010585234,0.011190122,0.011949436,0.009406587,0.010960008,0.009855218,0.005884076,0.006997412,0.007210435,0.004823844,0.006350408,0.008679013,0.008202915,0.004342253,0.005367694,0.003792299,0.005257825,0.004503394,0.004715196,0.003101348,0.005248669,0.004424044,0.004653548,0.004720079,0.006116021,0.00393757,0.003805728,0.003481005,0.001996557,0.00337663,0.004222008,0.003800845,0.003059231,0.003003687,0.00164925,0.002631964,0.002924948,0.002460447,0.001859832,0.002741833,0.002430539,0.002425656,0.002204087,0.001837248,0.002091167,0.002042946,0.001992285,0.002179672,0.001638874,0.001905,0.001640095,0.001795132,0.001684042,0.002248645,0.001554031,0.001748743,0.001350164,0.001972753,0.001447214,0.001009571,0.0012171,0.001322086,0.001358099,0.00126471,0.000885053,0.000933273,0.000523707,0.000651277,0.000738561,0.001051077,0.000743445,0.000476097,0.000482812,0.000255139,0.000556668,0.000514551,0.000426046,0.000625031,0.00030336,0.000519435,0.00030397,0.000308853,0.000285048,0.000308243,0.000446799,0.000296035,0.000283217,0.000328385,0.000231945,0.000262464,8.54534E-05,0.000274672,7.01939E-05,0.000189829,1.64803E-05,0.00020753,0.000115362,0.000146492,4.15059E-05,4.15059E-05,0.000100103,3.66229E-05,5.43239E-05,4.94409E-05,5.85966E-05,5.67655E-05,3.90644E-05,2.01426E-05,2.44153E-06,3.54021E-05,2.38049E-05,1.22076E-05,2.01426E-05,4.88305E-06,2.13633E-05,1.83114E-06,1.95322E-05,5.00513E-05,1.2818E-05,3.96748E-05,3.96748E-05,2.99087E-05,9.7661E-06,1.83114E-06,1.83114E-05,0,1.77011E-05,6.10381E-07,1.83114E-06,7.93496E-06,7.93496E-06,6.7142E-06,0,0,0,South Plume
C1B6,0.122060667,0.113513158,0.092231353,0.070493118,0.050931092,0.039045545,0.055636421,0.02656621,0.016684936,0.019410268,0.017045518,0.025623294,0.014297275,0.01848049,0.011515086,0.013810368,0.01481592,0.005725594,0.018340713,0.014589965,0.011170058,0.012031104,0.010551992,0.008612037,0.009236619,0.008691595,0.007849466,0.006749433,0.006325373,0.005750186,0.004188575,0.005560384,0.005393072,0.006510971,0.004432816,0.003834088,0.004912261,0.00553327,0.00454138,0.005525913,0.004375014,0.004037448,0.003655321,0.002848399,0.003408347,0.003972288,0.004477166,0.003944543,0.002183776,0.002576938,0.002014257,0.003090223,0.001994394,0.001994394,0.001952882,0.003125956,0.002277521,0.003155698,0.002052197,0.001458828,0.001999334,0.002312833,0.001718519,0.002220139,0.001522306,0.001829395,0.001510745,0.001084584,0.001697185,0.001875952,0.001080906,0.001033192,0.000903925,0.001644322,0.000923893,0.000771084,0.001092781,0.000738715,0.001138393,0.001365609,0.001066402,0.000789161,0.000715174,0.000548282,0.001132087,0.000349127,0.000456534,0.001026676,0.000567515,0.000467674,0.000454642,0.000452856,0.00017677,0.000649174,0.000628155,0.000307509,0.000807237,0.000173092,0.000298891,0.000431521,0.00034734,0.000174038,0.000219859,0.000291009,0.000235203,0.000173828,0.000155961,0.000181289,0.00016584,8.96463E-05,0.000173617,3.37356E-05,8.02928E-05,2.51178E-05,0.00011056,0.000144296,8.44967E-05,1.82866E-05,1.66051E-05,5.23375E-05,4.25636E-05,3.39458E-05,6.5054E-05,6.84171E-05,2.62738E-05,3.26846E-05,1.90223E-05,0,2.04936E-05,1.60796E-05,1.15605E-05,8.9331E-06,8.40763E-07,4.414E-06,4.83439E-06,1.69203E-05,6.09553E-06,7.46177E-06,1.27165E-05,1.27165E-05,8.51272E-06,7.77705E-06,1.89172E-06,3.36305E-06,1.89172E-06,2.10191E-07,4.72929E-06,7.98725E-06,2.10191E-07,2.10191E-07,8.40763E-07,5.25477E-07,0,1.99681E-06,South Plume
C1B7,0.107953563,0.09569948,0.071764519,0.052915722,0.060195512,0.033907766,0.048120195,0.03678762,0.016303408,0.024345546,0.024632724,0.023861149,0.021555651,0.024457418,0.016454493,0.015379594,0.018317114,0.007932572,0.013021044,0.020262774,0.012668126,0.011605913,0.011829658,0.012771925,0.010338409,0.009826332,0.006089558,0.007260183,0.011466361,0.006058418,0.005028499,0.004223478,0.00965564,0.006388269,0.005229177,0.003560315,0.006135691,0.004939693,0.00864648,0.004480669,0.005072325,0.004584468,0.003984739,0.003155498,0.003233924,0.0038498,0.003247764,0.008914052,0.0019595,0.002701088,0.003021713,0.002380464,0.002170558,0.001560449,0.002635349,0.004013572,0.002435823,0.00381174,0.00246235,0.001585822,0.00194566,0.002105972,0.002167098,0.001570829,0.001690775,0.001783041,0.001762281,0.001189078,0.001714995,0.001629649,0.001076053,0.001004546,0.00094342,0.001810721,0.00096764,0.00096764,0.00096418,0.000730055,0.00143589,0.001274425,0.000875374,0.000749661,0.000553596,0.000494777,0.001001086,0.000262958,0.00053745,0.000739282,0.000452104,0.000407124,0.000432497,0.00042673,0.000184532,0.000452104,0.000462483,0.000268725,0.000182225,0.000184532,0.000224898,0.000384057,0.000279105,0.000200679,0.000167232,0.000183379,0.000221438,0.000222592,0.000164926,0.000167232,0.000202985,0.000111873,0.000163772,2.42198E-05,0.000133786,2.65265E-05,7.26595E-05,0.000149932,9.34194E-05,1.15333E-06,2.53732E-05,6.91995E-05,2.07599E-05,3.57531E-05,6.68929E-05,3.92131E-05,2.88331E-05,2.76798E-05,1.38399E-05,8.07328E-06,8.07328E-06,3.34464E-05,1.96065E-05,2.76798E-05,2.30665E-06,1.49932E-05,1.03799E-05,2.19132E-05,1.03799E-05,1.38399E-05,3.45998E-06,3.45998E-06,2.07599E-05,5.76663E-06,0,4.6133E-06,0,0,0,1.15333E-06,6.91995E-06,6.91995E-06,0,0,0,0,Above Vent
C1B8,0.106245398,0.103199669,0.05230468,0.052607259,0.053823909,0.02753447,0.042427464,0.037875641,0.016635287,0.030625703,0.028628446,0.020962873,0.024053871,0.021368657,0.020444501,0.015534508,0.01700753,0.00922327,0.010909738,0.019101424,0.012836628,0.012389092,0.010940934,0.013951011,0.011062201,0.008545399,0.00617801,0.008402788,0.008524992,0.007059712,0.007693251,0.005370194,0.008050248,0.006432974,0.004982236,0.005221954,0.005993882,0.004845958,0.006584967,0.004626178,0.004591932,0.005235558,0.004440643,0.005553852,0.004022896,0.003765351,0.00317239,0.008334297,0.003072703,0.003806868,0.005869098,0.002993188,0.003107887,0.001671926,0.002808826,0.003693577,0.002834158,0.002779975,0.002856676,0.002743854,0.002759569,0.001964419,0.001734084,0.002113363,0.001767156,0.001669111,0.002336193,0.001554178,0.001607423,0.001729392,0.001949407,0.001842684,0.001580448,0.00190015,0.001827672,0.001481465,0.001079434,0.001382951,0.001049879,0.001375445,0.001188737,0.001223217,0.001239167,0.000844876,0.001029942,0.000383971,0.000750819,0.000835494,0.000611491,0.000857308,0.000716573,0.000719622,0.000260124,0.000573259,0.000486941,0.000664032,0.000289913,0.000314776,0.000356058,0.000420796,0.000181313,0.000342219,0.000181548,0.000296481,0.00015082,0.000234792,0.000296012,0.000209694,0.000254729,8.20951E-05,0.000160203,3.37763E-05,0.000126661,1.26661E-05,0.000260359,6.82562E-05,0.000204769,1.68881E-05,4.0813E-05,8.42061E-05,2.11102E-05,3.21344E-05,7.99841E-05,6.28614E-05,6.91945E-05,5.91085E-05,8.27988E-05,4.45659E-06,5.67629E-05,3.23689E-05,7.7404E-06,1.03205E-05,4.69115E-06,1.33698E-05,1.38389E-05,1.61845E-05,7.50584E-06,5.86394E-06,2.90851E-05,2.90851E-05,1.52462E-05,7.97495E-06,9.3823E-06,1.52462E-05,2.81469E-06,3.04925E-06,1.40734E-05,7.7404E-06,6.56761E-06,6.56761E-06,0,4.69115E-07,0,0,Above Vent
C1B9,0.07926354,0.075618988,0.114080062,0.074990528,0.059128054,0.05225088,0.071652054,0.035087058,0.013966482,0.017439361,0.015241001,0.026673197,0.01308681,0.024105525,0.009928032,0.014285241,0.015977641,0.008263238,0.017238788,0.022376289,0.011591791,0.011519153,0.009821319,0.008338808,0.00935254,0.01263123,0.005833336,0.006006044,0.010403108,0.005301064,0.003280761,0.003727972,0.010959535,0.005876297,0.00416466,0.002959672,0.005190037,0.004925541,0.010021374,0.004343406,0.004717463,0.003511354,0.003276188,0.001935847,0.002680165,0.003581317,0.003343305,0.008531703,0.001451368,0.002161092,0.001488118,0.002278675,0.001535393,0.001376832,0.00220112,0.003339768,0.00240868,0.00557436,0.001706634,0.001007175,0.001587412,0.001936192,0.001825597,0.001522625,0.001324641,0.001770558,0.001375797,0.000849306,0.001377954,0.00157059,0.00066314,0.000635707,0.000704807,0.001726389,0.000630703,0.000599992,0.001038749,0.000510705,0.000986902,0.001241306,0.000843353,0.00057092,0.000467743,0.000391397,0.00105307,0.000294,0.000347573,0.000796596,0.000417018,0.000291757,0.000323849,0.000322986,0.000211701,0.000572818,0.000475162,0.000178143,0.000310219,0.000219206,0.000187632,0.000403043,0.000246035,0.00012897,0.000149243,0.000130437,0.000208854,0.000128711,0.000114132,0.000139409,0.000144498,4.7361E-05,0.000126814,3.33856E-05,8.54913E-05,2.59666E-05,7.34138E-05,0.000142428,8.09191E-05,8.88557E-06,1.68222E-05,5.30546E-05,3.56286E-05,2.71743E-05,2.82958E-05,6.26304E-05,2.15669E-05,1.49243E-05,1.59595E-05,1.98416E-06,1.63909E-05,1.07835E-05,4.65846E-06,9.05811E-06,1.89789E-06,1.55282E-06,4.74472E-06,2.97624E-05,1.31127E-05,3.96831E-06,6.03874E-06,6.03874E-06,7.24649E-06,8.36797E-06,4.31339E-07,5.17606E-06,6.47008E-06,8.62677E-07,1.72535E-06,1.38028E-06,4.31339E-07,4.31339E-07,7.76409E-07,1.46655E-06,0,0,North Plume
C1B10,0.124514348,0.122136706,0.056367272,0.05486476,0.041834128,0.031532934,0.036931489,0.025827577,0.019665252,0.024688811,0.021546696,0.022913946,0.019982317,0.018748503,0.017570368,0.016326991,0.015120735,0.005331627,0.015161933,0.012912101,0.013849801,0.015378466,0.011619794,0.010545989,0.012752233,0.007347069,0.008120259,0.008553747,0.006053075,0.007518045,0.006171043,0.006478126,0.00530224,0.006578096,0.005035371,0.006110864,0.00594973,0.005987834,0.004350902,0.00562015,0.005283118,0.005722511,0.005272854,0.003969439,0.004770188,0.004387179,0.004513161,0.003009805,0.003595428,0.004041992,0.00297367,0.003753328,0.003780184,0.002542151,0.003040598,0.003160675,0.003066188,0.002493923,0.00241884,0.003259943,0.002721282,0.002567882,0.002369206,0.002561133,0.002062123,0.002212149,0.002179951,0.00204061,0.002102055,0.002120334,0.002139315,0.002021347,0.001812548,0.001711734,0.001772053,0.001887913,0.001907597,0.00156691,0.001340535,0.001424617,0.001511652,0.001378076,0.001343769,0.001162247,0.001099536,0.00059898,0.001138344,0.000986068,0.000900579,0.00064299,0.000578171,0.000576202,0.000377667,0.000710481,0.000490292,0.000464421,0.000633569,0.00041085,0.000427441,0.000404663,0.000389618,0.000481996,0.000293444,0.000193614,0.000272213,0.000228906,0.000262933,0.000312848,0.000335345,0.000110516,0.000261105,6.34132E-05,0.000157478,2.12315E-05,0.00017168,0.000174351,0.000460343,3.02302E-05,3.09333E-05,0.000145527,7.24119E-05,5.16023E-05,7.26931E-05,6.22883E-05,6.32726E-05,0.000155791,6.29913E-05,1.29357E-05,5.20241E-05,2.57308E-05,2.33405E-05,1.91224E-05,4.07756E-06,5.76483E-06,4.35878E-06,2.09502E-05,4.07756E-05,1.68727E-05,1.856E-05,1.856E-05,2.33405E-05,1.72945E-05,4.49938E-06,1.5326E-05,0,1.68727E-06,9.983E-06,1.26545E-06,5.62423E-07,5.62423E-07,9.8424E-06,0,0,0,North Plume
