gene,C1B1,C1B2,C1B3,C1B4,C1B5,C1B6,C1B7,C1B8,C1B9,C1B10,C1B11,C2B2,C2B3,C2B4,C2B5
K03043 (rpoB),-0.004427551,0.014718476,0.113135748,0.23259432,0.230161932,0.438432351,0.859532785,0.830088554,1.026679516,0.356101975,0.443566519,0.602370879,0.023108584,-0.108927659,0.156778276
K03046 (rpoB'),0.047685318,0.1806986,0.088204617,0.049583937,0.339115585,0.210479291,0.520879176,0.557531534,0.436212936,0.190983395,0.221079768,0.266338114,-0.324770851,-0.21078137,-0.42127348
K03040 (rpoA),-0.104171921,-0.08448678,-0.053504688,0.005096701,-0.122008036,0.393882737,1.282136757,0.793097242,1.521943544,0.069815474,0.122461075,1.560870694,-0.002715256,-0.100321358,0.176310655
K03060 (rpoZ),-0.64780304,-0.735524473,-1.115941874,-1.328541825,-1.289876579,-1.180640606,-0.819392025,-1.280269808,-0.660918091,-0.653813645,-0.659248262,1.035266485,0.113603431,0.139277482,-0.337899215
K03044 (rpoB1),-0.520706027,-0.686474257,-1.016960825,-1.71839208,-0.962808662,-1.137418766,-1.036881766,-0.365249674,-2.318115797,0.076250405,-0.442578091,-1.370735748,-0.489108933,-0.045436053,-1.897515967
K03041 (rpoA1),-0.029577757,0.159001658,-0.444943425,-0.507089778,-0.18100789,-0.64133176,-0.878766053,-1.105492883,-1.249138122,-0.302939477,0.77315605,-0.252005057,0.554765949,0.770612686,0.647582327
K03042 (rpoA2),-0.029671268,-0.343279502,-0.534068624,-0.927953319,-0.408815104,-1.226764261,-1.956991566,-0.681725037,-1.691491739,-0.658083309,0.835618498,-0.845923209,0.943262524,1.005928277,1.353094132
K03047 (rpoD),-0.783178017,-0.870050234,-0.949330408,-2.155004275,-1.047492,-1.333389462,-1.874667746,-1.261990989,-1.5158509,-0.891860334,0.444376293,-1.745856253,-0.62439154,-0.048031938,-0.332060305
K03049 (rpoE1),-0.490137627,-0.164227321,-0.676471854,-1.120523686,-0.9283973,-1.688969349,-1.440566898,-1.366236754,-1.682297774,-0.797252918,-0.635356365,0.456222424,0.616351026,1.250195063,0.479790563
K03051 (rpoF),-1.711982165,-3.586503027,-1.480253098,-1.499006795,-1.008456712,-2.479881128,-3.457697825,-1.025861219,-4.07922438,-0.977204478,-3.2067757,-3.251516386,-0.914759508,-1.484682342,-0.919973124
K03006 (RPB1),-2.599728585,-4.740743412,-3.63478986,-5.42061756,-5.532183975,-5.594358428,-6.910400514,-9.212708459,-5.723031074,-3.929341004,-0.022907695,-2.280016669,-1.948550296,1.041406192,-3.064927496
