gene,C1B1,C1B2,C1B3,C1B4,C1B5,C1B6,C1B7,C1B8,C1B9,C1B10,C1B11,C2B2,C2B3,C2B4,C2B5
K03043 (rpoB),0.984004097,0.942501896,0.560227095,0.119864512,0.122228015,0.000742737,1.72E-12,4.80E-12,1.11E-18,0.01197996,0.001968617,9.22E-07,0.898486843,0.613716749,0.313670702
K03046 (rpoB'),0.844131605,0.327860277,0.70298711,0.812656968,0.043751606,0.202669231,0.000751072,0.000231903,0.003372272,0.312600799,0.272033357,0.092318374,0.051081876,0.327114644,0.009036403
K03040 (rpoA),0.577562532,0.612304956,0.800085227,0.980863495,0.4788046,0.003441507,1.04E-25,1.19E-10,1.01E-39,0.688831927,0.553593151,1.86E-40,0.991605509,0.658271357,0.269024875
K03060 (rpoZ),0.224038405,0.135726298,0.045566425,0.006557508,0.007923929,0.00934862,0.102716169,0.005004458,0.139986569,0.216682937,0.26331803,0.017747004,0.844646694,0.879505152,0.565218053
K03044 (rpoB1),0.587824011,0.415574124,0.274952478,0.04477205,0.267717152,0.135259141,0.230092784,0.66908713,0.000454438,0.941690863,0.705586152,0.06593645,0.58280443,0.980364968,0.026258715
K03041 (rpoA1),0.957066936,0.731159935,0.386745181,0.257107132,0.70919874,0.101113034,0.039545115,0.003555806,0.00030024,0.527317749,0.080060212,0.561497095,0.178589913,0.079780869,0.112560004
K03042 (rpoA2),0.973373269,0.646409354,0.541534552,0.212547645,0.613016682,0.058162929,0.01020237,0.339849348,0.003172913,0.389193569,0.287578871,0.199812189,0.157388845,0.190654574,0.032978752
K03047 (rpoD),0.480885891,0.388075729,0.412789127,0.031959613,0.315123207,0.140795321,0.06235055,0.181078819,0.067426682,0.400836815,0.745408579,0.048650503,0.559148781,0.981990891,0.769097828
K03049 (rpoE1),0.644145358,0.873108247,0.53967527,0.238744032,0.339086517,0.040787795,0.126228899,0.107148356,0.023235361,0.413878436,0.601605744,0.592516425,0.519434145,0.200986471,0.643223632
K03051 (rpoF),0.311801799,0.017369101,0.424288697,0.390992921,0.582809655,0.110612973,0.054925796,0.560516676,0.002730969,0.587615245,0.102464036,0.031621426,0.590861484,NA,0.634166885
K03006 (RPB1),0.19110402,0.006672475,0.071175703,0.006932156,0.004679012,0.002301972,0.000778365,3.36E-06,0.000350889,0.03516334,0.997378174,0.195025837,0.321154345,0.718829403,0.102855241
