gene,function,C1B1,C1B2,C1B3,C1B4,C1B5,C1B6,C1B7,C1B8,C1B9,C1B10,C1B11,C2B2,C2B3,C2B4,C2B5,C1B12,C2B1
K11180 (dsrA),Dissimilatory sulfate reduction and oxidation,0.17285074,0.152207836,0.170810176,0.252670968,0.185711177,0.432384546,0.337821765,0.168646105,1.007885594,0.290800041,0.1601072,0.997992739,0.526926645,0.369064562,0.557001853,0.051520127,0.084385276
K11181 (dsrB),Dissimilatory sulfate reduction and oxidation,0.061677586,0.061631812,0.074949013,0.107407695,0.07673445,0.233393475,0.1954584,0.129853045,0.577575007,0.135718741,0.076699189,0.469816875,0.13563022,0.098680823,0.129469375,0.01795679,0.022228109
K00958 (sat),Dissimilatory sulfate reduction and oxidation,0.017748472,0.015974126,0.014772393,0.0230213,0.013236199,0.059435321,0.125834009,0.064254366,0.278557796,0.033996217,0.016370032,0.28194236,0.036554128,0.025962384,0.023575225,0.005858244,0.011789307
K00394 (aprA),Dissimilatory sulfate reduction and oxidation,0.032002726,0.02468771,0.044114752,0.067636804,0.042825319,0.273351262,0.486463341,0.281049955,1.224631487,0.112910159,0.06037941,1.180193464,0.13060294,0.064004901,0.089224567,0.018663021,0.022601834
K00395 (aprB),Dissimilatory sulfate reduction and oxidation,0.007852017,0.006350934,0.009370619,0.014327285,0.007831254,0.064880189,0.128703348,0.055977233,0.334549375,0.022474216,0.01388249,0.39944386,0.038613379,0.018245621,0.037157848,0.006796026,0.006234403
K17222 (soxA),SOX system,0.099844445,0.026450951,0.106269419,0.20137065,0.060144817,0.603070388,0.031857022,0.013331753,0.175223039,0.25516611,0.111311189,0.146482862,0.364941874,0.094106215,0.16166522,0.010037742,0.014422365
K17224 (soxB),SOX system,0.017839725,0.005455319,0.01664046,0.033480406,0.009991259,0.047421569,0.027785993,0.014541636,0.066256908,0.035289329,0.013643787,0.103821361,0.063430742,0.023011663,0.029909209,0.003149095,0.00497733
K17225 (soxC),SOX system,0.01357197,0.003990616,0.015070455,0.028710903,0.012910719,0.027103045,0.023249004,0.012006644,0.035129481,0.02047484,0.011457766,0.04203108,0.03394381,0.012357382,0.030275071,0.001921874,0.004246868
K22622 (soxD),SOX system,0.004001247,0.001215144,0.003544864,0.007041588,0.003580283,0.006167257,0.008142056,0.005185211,0.008713449,0.006383674,0.002336781,0.013869266,0.009252129,0.004488793,0.005144933,0.0005673,0.001639291
K17223 (soxX),SOX system,0.023770588,0.005578933,0.01741032,0.038644237,0.007338102,0.094581677,0.005444387,0.002147061,0.040283829,0.079981868,0.024624146,0.085413063,0.189422119,0.046095939,0.071228736,0.005615115,0.007313107
K17226 (soxY),SOX system,0.053828591,0.024596749,0.058649651,0.099220675,0.038889966,0.2149537,0.021164442,0.010401149,0.095039479,0.137277982,0.068809411,0.090717607,0.143789883,0.052102999,0.075276083,0.005904554,0.010854996
K17227 (soxZ),SOX system,0.035152477,0.010353212,0.037254547,0.080461883,0.014094284,0.19291007,0.014150501,0.00368342,0.070004962,0.079869275,0.035051718,0.070355003,0.089736952,0.030622807,0.06754725,0.003774283,0.006039047
