gene,C1B1,C1B2,C1B3,C1B4,C1B5,C1B6,C1B7,C1B8,C1B9,C1B10,C1B11,C2B2,C2B3,C2B4,C2B5
K17218 (sqr),0.500410226,0.892315374,0.823031126,0.886027883,0.727375752,1.389106646,0.383437731,0.631307481,0.972309603,1.348933001,1.039573198,1.616759862,1.42624181,1.291422561,0.536069355
K11180 (dsrA),0.614516891,0.732512119,0.685872766,1.183443396,1.05786926,1.426131797,1.50181257,0.745957222,2.518630617,1.048422561,0.762795728,2.314570209,1.759983579,1.606225189,2.160681735
K11181 (dsrB),0.69761604,0.978878821,1.155882679,1.499575314,1.321074536,2.202429075,2.230175895,1.941328301,3.276068254,1.449182878,1.115584177,2.674664718,1.314597941,1.216486415,1.57206158
K00958 (sat),0.344042761,0.421683132,0.303969476,0.758314738,0.401397139,1.739160235,2.990463568,2.375060815,3.676574689,0.790618703,0.289702131,3.484874216,0.756995859,0.718694378,0.53242777
K00394 (aprA),-0.189525775,-0.307001455,0.372478669,0.866387574,0.564166348,2.473193471,3.550850024,3.100844806,4.381992248,1.192470028,0.850581471,4.058154411,1.256769132,0.640186604,1.195556779
K00395 (aprB),-0.625644357,-0.598144559,-0.179942669,0.33995466,-0.21658455,1.975916596,3.34401922,2.453139673,4.190898765,0.690863655,0.605876836,4.202138152,1.263077347,0.489350665,1.453769614
K17222 (soxA),2.39026779,0.750143035,2.55370427,3.346714096,1.998718091,4.33493546,0.571975453,-0.232834773,2.505009465,3.315762338,2.920079476,2.34712104,3.81558796,2.154750011,2.807539121
K17224 (soxB),1.61793011,0.100905415,1.629295775,2.368491008,1.02349939,2.463789517,1.958160667,1.379207694,2.75438199,1.941718075,1.34701233,3.526022694,2.898817806,1.765168711,1.964994986
K17225 (soxC),1.683246923,0.173814995,1.929817928,2.67425189,1.687029758,1.95351286,2.231427012,1.774496433,2.29068657,1.74723474,1.603234354,2.735139275,2.465524249,1.315635375,2.525049735
K22622 (soxD),1.119484575,-0.508802739,1.074234112,1.629671056,0.992050085,1.025285985,1.684392016,1.574629898,1.369279362,1.137004561,0.64562559,2.394824715,1.509914877,0.991291124,1.042379288
K17223 (soxX),1.45084952,-0.279684797,1.208333201,2.109549294,0.248530243,2.826191645,-0.963948225,-1.714723219,1.559668314,2.698582737,2.091964264,2.979980394,4.197357309,2.342028518,2.868522484
K17226 (soxY),1.868330863,0.954770138,2.133822603,2.695492472,1.656543245,3.412367022,0.362500445,-0.404586827,1.970736194,2.83569942,2.456264633,1.804470957,2.789246885,1.714022644,2.082705388
K17227 (soxZ),2.072148685,0.536124886,2.350739356,3.155427948,1.242076967,3.788617052,0.652418024,-0.897117141,2.3411365,2.90277664,2.520888547,2.507065396,2.951287976,1.732537521,2.672486619
K00955 (cysNC),0.370850535,0.77938716,0.14751804,0.037155653,0.345525177,-0.864779788,-0.232182661,-0.395984967,-0.196562314,0.716393133,0.323980208,-1.217986352,-0.456972687,0.366391068,0.193448632
K00957 (cysD),0.966649766,0.849621573,0.858418702,0.939207605,0.92930996,0.537436492,0.449480805,0.709872882,-0.089247775,1.039466722,0.77749323,-0.389250291,-0.764274018,0.83393912,0.571099473
K00860 (cysC),-0.313111698,-0.110313303,-0.847275325,-0.838109132,-0.184778711,-0.068002904,-0.908713607,-0.801938207,-0.738513174,-0.534773789,-2.60922033,-1.133117063,-0.271315772,-0.117625738,0.28115652
K00390 (cysH),-0.223501763,-0.154007433,0.025833065,-0.574056714,-1.238383286,-1.497602683,-1.501111303,-1.220087574,-1.032242384,-0.57291894,-0.18726575,-0.227125548,0.61430492,0.009443638,1.266177283
K00380 (cycJ),-0.079760021,0.595319088,-0.972709435,-1.564257295,-1.073706936,-0.832197643,-1.744131993,-1.872846677,-2.603561379,-2.353160157,-1.82740874,-0.737222939,1.109349587,0.560755418,1.614146169
K00381 (cysI),0.012179585,0.305145242,0.026030205,0.129166359,0.381540769,-0.411649226,-1.377285239,-0.475000465,-0.798750437,-0.352627002,-0.024154576,-1.55045492,-0.390826019,0.28758519,0.790273158
