gene,C1B1,C1B2,C1B3,C1B4,C1B5,C1B6,C1B7,C1B8,C1B9,C1B10,C1B11,C2B2,C2B3,C2B4,C2B5
K17218 (sqr),0.157720971,0.003971909,0.025207011,0.006802568,0.029707194,1.15E-06,0.29622896,0.049391027,0.000654813,4.51E-06,0.001978715,6.88E-09,6.24E-07,1.51E-05,0.127021931
K11180 (dsrA),0.001650258,0.000109659,0.001169922,1.79E-11,3.27E-09,6.48E-17,1.26E-18,5.14E-05,5.29E-53,5.16E-09,0.00010095,1.49E-44,2.66E-25,1.53E-20,1.71E-37
K11181 (dsrB),0.01182096,0.000161714,3.46E-05,7.03E-10,1.00E-07,1.72E-21,5.77E-22,8.45E-17,3.89E-48,3.26E-09,2.37E-05,5.79E-32,8.74E-08,1.53E-06,8.75E-11
K00958 (sat),0.070685944,0.018636107,0.183413868,9.34E-06,0.035346263,4.86E-31,9.56E-90,5.59E-59,9.34E-145,1.96E-06,0.201875618,7.93E-128,4.06E-06,2.28E-05,0.00340899
K00394 (aprA),0.575543845,0.278759516,0.248122617,0.000342643,0.029768962,1.00E-31,3.75E-65,5.93E-50,1.63E-100,2.35E-07,0.000959909,7.87E-86,2.75E-08,0.018319549,1.82E-07
K00395 (aprB),0.119704233,0.120393021,0.73879898,0.415542797,0.636467228,4.21E-10,4.86E-28,2.70E-15,7.55E-45,0.077362645,0.163899746,8.41E-45,0.000238108,0.302551556,1.51E-05
K17222 (soxA),8.56E-23,0.00794261,5.35E-23,2.69E-45,7.87E-16,2.73E-77,0.047550211,0.493532374,3.50E-26,1.40E-44,3.46E-34,8.72E-23,1.51E-59,2.29E-18,2.09E-31
K17224 (soxB),2.78E-10,0.778891939,1.98E-08,1.59E-21,0.000311921,8.02E-24,3.88E-14,1.15E-07,1.11E-30,1.32E-14,1.35E-06,3.13E-49,8.38E-33,4.47E-12,1.71E-14
K17225 (soxC),2.88E-10,0.631183195,7.35E-11,2.59E-25,6.74E-10,8.81E-14,7.26E-17,1.71E-11,1.10E-19,7.48E-11,1.42E-08,4.54E-27,8.19E-22,3.16E-06,5.08E-22
K22622 (soxD),0.018151609,0.342092966,0.053839006,0.000291876,0.043678158,0.023438288,0.000192252,0.000290034,0.00115318,0.018246041,0.279219074,3.51E-09,0.000716325,0.060638374,0.031346425
K17223 (soxX),0.001146447,0.608233008,0.020713343,4.38E-07,0.666115749,1.08E-12,0.048658761,8.81E-05,0.000165311,2.79E-11,1.35E-06,2.59E-14,2.66E-27,1.65E-08,1.09E-12
K17226 (soxY),8.41E-17,0.000109659,2.48E-18,5.96E-35,6.16E-13,5.15E-57,0.198798413,0.144073395,1.99E-19,7.07E-39,1.72E-28,4.89E-16,1.90E-37,6.00E-14,1.93E-20
K17227 (soxZ),6.63E-09,0.222013437,8.99E-10,1.48E-20,0.001568795,6.19E-30,0.114942656,0.025322365,6.41E-12,2.83E-17,1.04E-12,1.92E-13,6.45E-18,3.16E-06,1.64E-14
K00955 (cysNC),7.03E-01,3.27E-01,0.893293896,0.970983319,0.693798096,0.250872547,0.788120361,0.637579045,0.779048147,0.397634805,0.768619109,0.093385255,0.588502646,0.767236378,0.839036541
K00957 (cysD),2.68E-01,3.16E-01,0.386745181,0.274151184,0.287684305,0.514027446,0.623650879,0.41462871,0.910411047,0.225514205,0.459096252,0.635030623,0.394738362,0.422313583,0.55621805
K00860 (cysC),7.91E-01,9.21E-01,0.434791004,0.401328013,0.86439876,0.94536471,0.35905191,0.399366771,0.361513101,0.599442516,0.017311842,0.190725965,0.786506185,0.955673306,0.793014772
K00390 (cysH),7.33E-01,7.91E-01,0.974174519,0.320315048,0.021881812,0.002366168,0.009731489,0.012273011,0.017941257,0.307952728,0.811908409,0.654095212,0.232178955,0.994128488,0.006871767
K00380 (cycJ),9.66E-01,7.08E-01,0.596852076,0.354853538,0.531852318,0.577187234,0.284614046,0.216153336,0.040407326,0.135925894,0.339020556,0.610904422,0.484291397,0.814507359,0.269830142
K00381 (cysI),9.87E-01,5.93E-01,0.974806302,0.843420692,0.52353169,0.438437178,0.014361568,0.40121723,0.086219306,0.567836487,0.982456651,0.001387425,0.512554552,0.723558548,0.130726987
